distance,fe
0,0.987939
0.7677165354,0.978635
1.535433071,0.968793
2.303149606,0.842707
3.070866142,0.650617
3.838582677,0.596924
4.606299213,0.545475
5.374015748,0.617239
6.141732283,0.612523
6.909448819,0.577763
7.677165354,0.524123
8.44488189,0.521003
9.212598425,0.521274
9.980314961,0.510572
10.7480315,0.541273
11.51574803,0.561619
12.28346457,0.573534
13.0511811,0.556809
13.81889764,0.536833
14.58661417,0.502025
15.35433071,0.455041
16.12204724,0.426226
16.88976378,0.463245
17.65748031,0.431893
18.42519685,0.402335
19.19291339,0.389032
19.96062992,0.400906
20.72834646,0.368975
21.49606299,0.367345
22.26377953,0.360786
23.03149606,0.355189
23.7992126,0.326439
24.56692913,0.358743
25.33464567,0.289178
26.1023622,0.321592
26.87007874,0.307966
27.63779528,0.286664
28.40551181,0.270333
29.17322835,0.276498
29.94094488,0.26622
30.70866142,0.272032
31.47637795,0.259419
32.24409449,0.261506
33.01181102,0.237572
33.77952756,0.195132
34.54724409,0.217089
35.31496063,0.239881
36.08267717,0.192524
36.8503937,0.212948
37.61811024,0.223661
38.38582677,0.216349
39.15354331,0.214339
39.92125984,0.204387
40.68897638,0.202522
41.45669291,0.207973
42.22440945,0.181255
42.99212598,0.186811
43.75984252,0.181141
44.52755906,0.166964
45.29527559,0.169666
46.06299213,0.139715
46.83070866,0.146139
47.5984252,0.129742
48.36614173,0.183392
49.13385827,0.176788
49.9015748,0.165508
50.66929134,0.13853
51.43700787,0.118566
52.20472441,0.119078
52.97244094,0.129097
53.74015748,0.154822
54.50787402,0.164574
55.27559055,0.160317
56.04330709,0.129669
56.81102362,0.149581
57.57874016,0.158127
58.34645669,0.147122
59.11417323,0.11757
59.88188976,0.122514
60.6496063,0.122506
61.41732283,0.0966561
62.18503937,0.1035
62.95275591,0.0680039
63.72047244,0.082693
64.48818898,0.0902802
65.25590551,0.0507876
66.02362205,0.0473568
66.79133858,0.111305
67.55905512,0.113732
68.32677165,0.132376
69.09448819,0.126215
69.86220472,0.119736
70.62992126,0.116397
71.3976378,0.121192
72.16535433,0.112701
72.93307087,0.115075
73.7007874,0.112233
74.46850394,0.0991487
75.23622047,0.0787355
76.00393701,0.0757868
76.77165354,0.0787499
77.53937008,0.0692372
78.30708661,0.0894603
79.07480315,0.096622
79.84251969,0.0737091
80.61023622,0.0769322
81.37795276,0.0974115
82.14566929,0.0909023
82.91338583,0.0666145
83.68110236,0.0661784
84.4488189,0.0671716
85.21653543,0.0646297
85.98425197,0.0647243
86.7519685,0.0490005
87.51968504,0.0157805
88.28740157,0.0287495
89.05511811,0.0564288
89.82283465,0.0678411
90.59055118,0.0907392
91.35826772,0.0858279
92.12598425,0.0819412
92.89370079,0.0582822
93.66141732,0.0234646
94.42913386,0.0281875
95.19685039,0.0590631
95.96456693,0.0792873
96.73228346,0.0385809
97.5,0.0624862
