distance,fe
0,0.984478
1.566771654,0.991484
3.133543307,0.982737
4.700314961,0.994314
6.267086614,0.990105
7.833858268,0.986808
9.400629921,0.978681
10.96740157,0.987248
12.53417323,0.9846
14.10094488,0.979997
15.66771654,0.818457
17.23448819,0.35095
18.80125984,0.252042
20.3680315,0.258989
21.93480315,0.116525
23.5015748,0.129736
25.06834646,0.22375
26.63511811,0.208873
28.20188976,0.237159
29.76866142,0.227543
31.33543307,0.226647
32.90220472,0.201046
34.46897638,0.22192
36.03574803,0.206788
37.60251969,0.131955
39.16929134,0.233375
40.73606299,0.182532
42.30283465,0.0574696
43.8696063,0.20386
45.43637795,0.113372
47.00314961,0.18669
48.56992126,0.186185
50.13669291,0.170045
51.70346457,0.193485
53.27023622,0.0805501
54.83700787,0.138506
56.40377953,0.176119
57.97055118,0.151205
59.53732283,0.137467
61.10409449,0.102921
62.67086614,0.172078
64.2376378,0.119952
65.80440945,0.120041
67.3711811,0.121066
68.93795276,0.145886
70.50472441,0.127117
72.07149606,0.117502
73.63826772,0.159263
75.20503937,0.128005
76.77181102,0.109742
78.33858268,0.124161
79.90535433,0.0476549
81.47212598,0.137202
83.03889764,0.117608
84.60566929,0.0556407
86.17244094,0.115392
87.7392126,0.0989356
89.30598425,0.119893
90.87275591,0.106836
92.43952756,0.120397
94.00629921,0.115328
95.57307087,0.0867675
97.13984252,0.0902385
98.70661417,0.128305
100.2733858,0.109939
101.8401575,0.0652167
103.4069291,0.0675204
104.9737008,0.108477
106.5404724,0.0972921
108.1072441,0.110167
109.6740157,0.0243027
111.2407874,0.0808327
112.8075591,0.110049
114.3743307,0.0926997
115.9411024,0.0609995
117.507874,0.0687773
119.0746457,0.0871647
120.6414173,0.0859072
122.208189,0.0785054
123.7749606,0.0536466
125.3417323,0.112894
126.9085039,0.0964099
128.4752756,0.0650335
130.0420472,0.0904157
131.6088189,0.0909088
133.1755906,0.0967582
134.7423622,0.0962371
136.3091339,0.0938078
137.8759055,0.0750315
139.4426772,0.059503
141.0094488,0.00886561
142.5762205,0.0431379
144.1429921,0.0591352
145.7097638,0.0680663
147.2765354,0.0729135
148.8433071,0.0707234
150.4100787,0.0556569
151.9768504,0.0662197
153.543622,0.075385
155.1103937,0.069601
156.6771654,0.0985994
158.243937,0.0725093
159.8107087,0.0532544
161.3774803,0.00167092
162.944252,0.0133124
164.5110236,0.047738
166.0777953,0.0669924
167.6445669,0.0803969
169.2113386,0.0760765
170.7781102,0.0773877
172.3448819,0.0129505
173.9116535,0.000245648
175.4784252,0.019247
177.0451969,0.00888356
178.6119685,0.0538451
180.1787402,0.066519
181.7455118,0.0819185
183.3122835,0.0654429
184.8790551,0.0655121
186.4458268,0.0564067
188.0125984,0.0579116
189.5793701,0.0699321
191.1461417,0.0523608
192.7129134,0.0328303
194.279685,0.00139422
195.8464567,0.0131518
197.4132283,0.0591311
198.98,0.0568698
