distance,fe
0,0.9895
1.051968504,0.987406
2.103937008,0.982123
3.155905512,0.965267
4.207874016,0.976907
5.25984252,0.966579
6.311811024,0.944022
7.363779528,0.930235
8.415748031,0.972316
9.467716535,0.81764
10.51968504,0.120164
11.57165354,0.0908603
12.62362205,0.0680174
13.67559055,0.0740596
14.72755906,0.0531418
15.77952756,0.0490398
16.83149606,0.050571
17.88346457,0.042143
18.93543307,0.0535774
19.98740157,0.0382018
21.03937008,0.0410834
22.09133858,0.0461672
23.14330709,0.0388747
24.19527559,0.0345201
25.24724409,0.00880473
26.2992126,0.02925
27.3511811,0.036203
28.40314961,0.0399801
29.45511811,0.0304448
30.50708661,0.03831
31.55905512,0.034085
32.61102362,0.0364258
33.66299213,0.0217247
34.71496063,0.0109598
35.76692913,0.0397166
36.81889764,0.0406082
37.87086614,0.0335322
38.92283465,0.0343435
39.97480315,0.0307875
41.02677165,0.0439966
42.07874016,0.0458429
43.13070866,0.0520188
44.18267717,0.040356
45.23464567,0.0327829
46.28661417,0.0384977
47.33858268,0.0443936
48.39055118,0.0396032
49.44251969,0.0538856
50.49448819,0.0521101
51.54645669,0.0478608
52.5984252,0.0410357
53.6503937,0.0449803
54.7023622,0.052555
55.75433071,0.0518607
56.80629921,0.0433603
57.85826772,0.0546488
58.91023622,0.0384243
59.96220472,0.0328268
61.01417323,0.0390194
62.06614173,0.0328292
63.11811024,0.039631
64.17007874,0.0368276
65.22204724,0.0261567
66.27401575,0.0334927
67.32598425,0.0357907
68.37795276,0.0366027
69.42992126,0.0399175
70.48188976,0.039864
71.53385827,0.0439246
72.58582677,0.0366205
73.63779528,0.0428031
74.68976378,0.0354395
75.74173228,0.0370348
76.79370079,0.035931
77.84566929,0.0459834
78.8976378,0.0290856
79.9496063,0.0290352
81.0015748,0.0323325
82.05354331,0.0336911
83.10551181,0.0341234
84.15748031,0.0359816
85.20944882,0.0317843
86.26141732,0.0308545
87.31338583,0.0456974
88.36535433,0.0547084
89.41732283,0.0401354
90.46929134,0.0456911
91.52125984,0.0410897
92.57322835,0.0512629
93.62519685,0.042443
94.67716535,0.0408503
95.72913386,0.0201996
96.78110236,0.0311239
97.83307087,0.0200314
98.88503937,0.0452833
99.93700787,0.0385107
100.9889764,0.0454676
102.0409449,0.0337973
103.0929134,0.0503154
104.1448819,0.0279741
105.1968504,0.0305286
106.2488189,0.0421954
107.3007874,0.0309748
108.3527559,0.0372338
109.4047244,0.0457892
110.4566929,0.0215179
111.5086614,0.0410563
112.5606299,0.0381164
113.6125984,0.0500923
114.6645669,0.0491383
115.7165354,0.0355601
116.7685039,0.0282418
117.8204724,0.0186488
118.8724409,0.0296476
119.9244094,0.0405177
120.976378,0.0507229
122.0283465,0.0439549
123.080315,0.04365
124.1322835,0.0383565
125.184252,0.0580758
126.2362205,0.0388954
127.288189,0.0460953
128.3401575,0.0380825
129.392126,0.0421906
130.4440945,0.0337886
131.496063,0.0340007
132.5480315,0.0288296
133.6,0.0424127
