distance,fe
0,0.984589
0.9797637795,0.989018
1.959527559,0.984752
2.939291339,0.98318
3.919055118,0.9597
4.898818898,0.479113
5.878582677,0.263842
6.858346457,0.216916
7.838110236,0.16535
8.817874016,0.129419
9.797637795,0.13227
10.77740157,0.133531
11.75716535,0.154427
12.73692913,0.184091
13.71669291,0.171029
14.69645669,0.161372
15.67622047,0.134835
16.65598425,0.117173
17.63574803,0.100847
18.61551181,0.106918
19.59527559,0.097654
20.57503937,0.0967934
21.55480315,0.0662909
22.53456693,0.0470803
23.51433071,0.0978149
24.49409449,0.147932
25.47385827,0.129905
26.45362205,0.0867883
27.43338583,0.0726745
28.41314961,0.0883535
29.39291339,0.0659466
30.37267717,0.0695648
31.35244094,0.126107
32.33220472,0.135412
33.3119685,0.118106
34.29173228,0.103674
35.27149606,0.103867
36.25125984,0.110575
37.23102362,0.121037
38.2107874,0.102998
39.19055118,0.089976
40.17031496,0.108058
41.15007874,0.109555
42.12984252,0.0893399
43.1096063,0.0520065
44.08937008,0.110822
45.06913386,0.0955751
46.04889764,0.0190908
47.02866142,0.0496382
48.0084252,0.0724916
48.98818898,0.0640667
49.96795276,0.0780056
50.94771654,0.0807574
51.92748031,0.0605689
52.90724409,0.0572267
53.88700787,0.0594791
54.86677165,0.0717368
55.84653543,0.0512914
56.82629921,0.039036
57.80606299,0.076686
58.78582677,0.0862744
59.76559055,0.0867086
60.74535433,0.0741381
61.72511811,0.0767199
62.70488189,0.0694721
63.68464567,0.075861
64.66440945,0.0644761
65.64417323,0.0550805
66.62393701,0.0681711
67.60370079,0.0591378
68.58346457,0.0627673
69.56322835,0.0677053
70.54299213,0.0582893
71.52275591,0.0599763
72.50251969,0.0595375
73.48228346,0.066754
74.46204724,0.0762469
75.44181102,0.07284
76.4215748,0.0743575
77.40133858,0.0581268
78.38110236,0.0554399
79.36086614,0.054431
80.34062992,0.0678546
81.3203937,0.0777317
82.30015748,0.066518
83.27992126,0.0597272
84.25968504,0.0353358
85.23944882,0.0483969
86.2192126,0.0361891
87.19897638,0.0489712
88.17874016,0.0593631
89.15850394,0.0461294
90.13826772,0.0678389
91.1180315,0.0589245
92.09779528,0.0602531
93.07755906,0.0440039
94.05732283,0.0472406
95.03708661,0.0417198
96.01685039,0.0442849
96.99661417,0.0381842
97.97637795,0.048849
98.95614173,0.0571317
99.93590551,0.0515643
100.9156693,0.0432873
101.8954331,0.053294
102.8751969,0.0509573
103.8549606,0.0401413
104.8347244,0.0554425
105.8144882,0.0391301
106.794252,0.0401
107.7740157,0.0499963
108.7537795,0.0397818
109.7335433,0.0428749
110.7133071,0.0503708
111.6930709,0.0406105
112.6728346,0.0496244
113.6525984,0.0496116
114.6323622,0.0497683
115.612126,0.0464665
116.5918898,0.0431064
117.5716535,0.0204478
118.5514173,0.0339241
119.5311811,0.0437437
120.5109449,0.0450387
121.4907087,0.0353534
122.4704724,0.041917
123.4502362,0.0569031
124.43,0.052713
