X_(px),Y_deviation_(px)
1764,-15.851
1760,-15.851
1756,-7.851
1752,-7.851
1752,-3.851
1748,-3.851
1744,0.149
1740,0.149
1736,4.149
1732,8.149
1728,8.149
1724,12.149
1720,12.149
1716,12.149
1712,12.149
1712,16.149
1708,16.149
1704,16.149
1700,16.149
1696,16.149
1696,20.149
1692,20.149
1688,20.149
1684,20.149
1680,24.149
1676,24.149
1672,24.149
1668,24.149
1660,24.149
1656,24.149
1652,28.149
1648,28.149
1644,28.149
1640,28.149
1636,28.149
1632,28.149
1628,28.149
1628,32.149
1624,32.149
1620,32.149
1616,32.149
1612,36.149
1612,40.149
1608,40.149
1608,44.149
1608,48.149
1608,52.149
1604,52.149
1604,56.149
1600,60.149
1600,64.149
1596,64.149
1596,68.149
1592,68.149
1592,72.149
1588,72.149
1584,76.149
1580,76.149
1576,76.149
1572,76.149
1572,80.149
1568,80.149
1564,80.149
1560,84.149
1556,84.149
1556,88.149
1552,88.149
1548,88.149
1544,88.149
1544,92.149
1540,92.149
1536,92.149
1532,92.149
1532,96.149
1528,96.149
1524,96.149
1520,96.149
1516,96.149
1512,96.149
1512,92.149
1508,92.149
1500,92.149
1496,92.149
1492,88.149
1488,88.149
1484,88.149
1480,84.149
1476,84.149
1476,80.149
1472,80.149
1468,80.149
1464,76.149
1460,76.149
1456,80.149
1448,80.149
1444,80.149
1440,84.149
1436,84.149
1432,88.149
1428,88.149
1424,88.149
1416,88.149
1412,88.149
1408,88.149
1400,92.149
1392,92.149
1388,92.149
1384,96.149
1380,96.149
1372,96.149
1368,100.149
1360,100.149
1356,100.149
1352,104.149
1348,104.149
1344,104.149
1340,104.149
1336,104.149
1332,104.149
1328,104.149
1324,104.149
1320,104.149
1316,104.149
1312,104.149
1308,104.149
1304,104.149
1300,104.149
1296,104.149
1292,104.149
1288,104.149
1284,104.149
1280,104.149
1276,104.149
1272,104.149
1268,104.149
1264,104.149
1260,104.149
1256,104.149
1252,104.149
1248,104.149
1244,104.149
1240,104.149
1236,104.149
1232,104.149
1228,104.149
1224,104.149
1216,104.149
1208,104.149
1196,104.149
1188,104.149
1176,104.149
1168,104.149
1160,104.149
1148,104.149
1144,104.149
1136,104.149
1132,104.149
1128,104.149
1124,104.149
1120,104.149
1116,104.149
1112,104.149
1108,104.149
1104,104.149
1100,104.149
1096,104.149
1092,104.149
1088,104.149
1084,104.149
1080,104.149
1076,104.149
1072,104.149
1068,104.149
1064,104.149
1064,96.149
1060,96.149
1060,92.149
1056,92.149
1056,88.149
1052,88.149
1052,84.149
1048,84.149
1048,80.149
1048,76.149
1044,76.149
1044,72.149
1040,72.149
1036,72.149
1036,68.149
1032,64.149
1028,64.149
1028,60.149
1024,60.149
1024,56.149
1016,56.149
1016,52.149
1012,52.149
1012,48.149
1008,48.149
1008,44.149
1004,44.149
1000,44.149
1000,40.149
996,40.149
992,36.149
988,36.149
984,36.149
984,32.149
980,32.149
980,28.149
976,28.149
972,24.149
968,24.149
964,24.149
964,20.149
960,20.149
956,20.149
952,20.149
948,20.149
944,20.149
944,16.149
940,16.149
936,12.149
932,12.149
932,8.149
928,8.149
924,8.149
920,4.149
916,4.149
916,0.149
916,-3.851
912,-3.851
908,-7.851
904,-7.851
904,-11.851
900,-11.851
900,-15.851
896,-15.851
896,-19.851
892,-19.851
892,-23.851
888,-23.851
888,-27.851
884,-27.851
884,-31.851
880,-35.851
876,-35.851
876,-39.851
872,-39.851
868,-43.851
864,-47.851
864,-51.851
860,-51.851
856,-55.851
852,-55.851
848,-59.851
844,-59.851
844,-63.851
840,-63.851
836,-67.851
832,-67.851
828,-67.851
824,-71.851
820,-71.851
816,-71.851
812,-71.851
808,-71.851
804,-71.851
800,-75.851
796,-75.851
792,-75.851
788,-75.851
784,-75.851
780,-75.851
776,-75.851
772,-75.851
768,-75.851
764,-75.851
760,-75.851
756,-75.851
752,-75.851
748,-75.851
744,-75.851
740,-75.851
736,-79.851
732,-79.851
728,-79.851
724,-79.851
720,-79.851
716,-79.851
712,-79.851
704,-79.851
700,-79.851
696,-79.851
692,-83.851
688,-83.851
684,-83.851
680,-83.851
676,-83.851
672,-87.851
668,-87.851
664,-87.851
660,-87.851
656,-87.851
652,-87.851
648,-87.851
644,-87.851
640,-91.851
636,-91.851
632,-91.851
628,-91.851
624,-91.851
620,-91.851
616,-95.851
612,-95.851
608,-95.851
604,-95.851
600,-95.851
596,-95.851
592,-95.851
588,-95.851
584,-99.851
580,-99.851
576,-99.851
572,-99.851
568,-99.851
564,-99.851
560,-99.851
556,-99.851
548,-103.851
540,-103.851
536,-103.851
532,-103.851
528,-103.851
524,-103.851
520,-103.851
516,-103.851
512,-103.851
508,-103.851
504,-103.851
500,-103.851
496,-103.851
492,-103.851
488,-103.851
484,-103.851
480,-103.851
476,-103.851
472,-103.851
468,-103.851
464,-103.851
460,-103.851
456,-103.851
452,-103.851
448,-103.851
444,-103.851
440,-103.851
436,-103.851
432,-103.851
428,-103.851
424,-103.851
420,-99.851
416,-99.851
412,-99.851
408,-99.851
404,-99.851
400,-99.851
396,-95.851
392,-95.851
388,-95.851
384,-95.851
380,-95.851
376,-95.851
372,-95.851
368,-95.851
364,-95.851
360,-95.851
356,-91.851
352,-91.851
348,-91.851
344,-91.851
340,-91.851
336,-91.851
332,-91.851
328,-91.851
324,-91.851
320,-91.851
316,-91.851
312,-91.851
308,-91.851
304,-87.851
300,-87.851
296,-87.851
292,-87.851
288,-87.851
284,-87.851
280,-87.851
276,-83.851
272,-83.851
268,-83.851
264,-79.851
260,-79.851
256,-79.851
252,-79.851
248,-79.851
244,-79.851
240,-79.851
236,-75.851
228,-75.851
224,-75.851
212,-71.851
204,-71.851
200,-71.851
192,-71.851
184,-67.851
176,-63.851
172,-63.851
164,-63.851
156,-59.851
152,-55.851
144,-55.851
140,-55.851
136,-55.851
132,-51.851
128,-51.851
124,-51.851
124,-47.851
120,-47.851
116,-47.851
112,-47.851
108,-47.851
104,-43.851
100,-39.851
96,-39.851
92,-39.851
88,-39.851
84,-39.851
80,-35.851
76,-35.851
72,-35.851
68,-35.851
64,-31.851
60,-31.851
56,-31.851
52,-27.851
48,-27.851
44,-23.851
40,-23.851
36,-23.851
32,-23.851
28,-19.851
24,-19.851
20,-19.851
16,-19.851
12,-15.851
8,-15.851
4,-15.851
0,-15.851
0,-11.851
0,-7.851
