X_(px),Y_deviation_(px)
1137,-2.662
1137,-5.662
1143,-5.662
1146,-5.662
1146,-8.662
1149,-8.662
1152,-11.662
1155,-11.662
1161,-11.662
1164,-11.662
1173,-11.662
1182,-11.662
1191,-14.662
1194,-14.662
1200,-14.662
1206,-14.662
1209,-14.662
1212,-14.662
1215,-14.662
1218,-14.662
1221,-14.662
1224,-14.662
1227,-14.662
1230,-11.662
1239,-11.662
1242,-11.662
1248,-8.662
1254,-5.662
1263,-2.662
1266,-2.662
1272,-2.662
1272,0.338
1275,0.338
1278,0.338
1281,0.338
1284,3.338
1287,3.338
1287,6.338
1290,6.338
1293,6.338
1296,6.338
1299,6.338
1302,6.338
1302,9.338
1305,9.338
1308,9.338
1311,9.338
1314,9.338
1314,12.338
1317,12.338
1320,12.338
1323,15.338
1326,18.338
1329,18.338
1332,18.338
1335,21.338
1338,21.338
1341,21.338
1344,21.338
1347,24.338
1350,24.338
1353,24.338
1359,24.338
1362,24.338
1365,27.338
1368,27.338
1371,27.338
1374,27.338
1377,27.338
1380,30.338
1383,30.338
1386,30.338
1395,33.338
1404,33.338
1410,33.338
1413,33.338
1419,33.338
1422,33.338
1425,33.338
1425,30.338
1428,30.338
1431,30.338
1434,27.338
1437,24.338
1440,24.338
1443,24.338
1446,24.338
1449,21.338
1452,21.338
1452,24.338
1455,24.338
1455,27.338
1455,30.338
1458,30.338
1458,33.338
1461,33.338
1461,36.338
1464,36.338
1467,36.338
1470,39.338
1473,39.338
1476,42.338
1479,42.338
1482,45.338
1488,45.338
1491,48.338
1497,48.338
1500,51.338
1506,54.338
1509,54.338
1512,57.338
1515,57.338
1518,57.338
1521,60.338
1524,60.338
1527,63.338
1530,63.338
1533,63.338
1533,66.338
1536,66.338
1539,66.338
1545,69.338
1548,69.338
1548,72.338
1551,72.338
1554,72.338
1557,75.338
1560,75.338
1563,78.338
1566,78.338
1569,78.338
1572,81.338
1575,81.338
1581,81.338
1584,81.338
1587,81.338
1590,81.338
1593,81.338
1593,84.338
1596,84.338
1599,84.338
1599,87.338
1602,87.338
1605,90.338
1605,93.338
1608,93.338
1611,96.338
1614,96.338
1617,96.338
1620,99.338
1623,99.338
1629,99.338
1632,99.338
1635,99.338
1641,102.338
1644,102.338
1650,102.338
1653,102.338
1656,102.338
1662,102.338
