distance,fe
0,0.986561
1.272125984,0.98039
2.544251969,0.980122
3.816377953,0.979806
5.088503937,0.241117
6.360629921,0.126201
7.632755906,0.124241
8.90488189,0.0990727
10.17700787,0.0804772
11.44913386,0.115839
12.72125984,0.0932528
13.99338583,0.080499
15.26551181,0.0818757
16.5376378,0.089059
17.80976378,0.105219
19.08188976,0.0931376
20.35401575,0.0866088
21.62614173,0.0455503
22.89826772,0.0725952
24.1703937,0.0695555
25.44251969,0.0870541
26.71464567,0.0725327
27.98677165,0.0566451
29.25889764,0.0555882
30.53102362,0.0687915
31.80314961,0.0863097
33.07527559,0.0898304
34.34740157,0.0618466
35.61952756,0.0678893
36.89165354,0.0612583
38.16377953,0.0643662
39.43590551,0.0494404
40.7080315,0.0663219
41.98015748,0.0696922
43.25228346,0.0696764
44.52440945,0.0720637
45.79653543,0.0599919
47.06866142,0.0382869
48.3407874,0.0310069
49.61291339,0.0503575
50.88503937,0.0438239
52.15716535,0.043926
53.42929134,0.0488009
54.70141732,0.0547276
55.97354331,0.0740127
57.24566929,0.0368254
58.51779528,0.0498051
59.78992126,0.0467969
61.06204724,0.0515631
62.33417323,0.0517954
63.60629921,0.0590472
64.8784252,0.0413246
66.15055118,0.0421931
67.42267717,0.0610854
68.69480315,0.0498547
69.96692913,0.0482706
71.23905512,0.0192215
72.5111811,0.0563618
73.78330709,0.0717474
75.05543307,0.0703215
76.32755906,0.0621589
77.59968504,0.0518452
78.87181102,0.0573178
80.14393701,0.0707317
81.41606299,0.0639264
82.68818898,0.0684582
83.96031496,0.0595808
85.23244094,0.0439899
86.50456693,0.039024
87.77669291,0.0561262
89.0488189,0.0617538
90.32094488,0.0631901
91.59307087,0.0210207
92.86519685,0.0307336
94.13732283,0.0442167
95.40944882,0.0404055
96.6815748,0.0446354
97.95370079,0.0443778
99.22582677,0.028747
100.4979528,0.0376987
101.7700787,0.0519381
103.0422047,0.0498187
104.3143307,0.0449688
105.5864567,0.0591416
106.8585827,0.0606783
108.1307087,0.0673905
109.4028346,0.051776
110.6749606,0.0577734
111.9470866,0.058939
113.2192126,0.0621533
114.4913386,0.0517946
115.7634646,0.0444844
117.0355906,0.0464906
118.3077165,0.0392894
119.5798425,0.0475329
120.8519685,0.0494713
122.1240945,0.0319712
123.3962205,0.0547338
124.6683465,0.0442827
125.9404724,0.0438672
127.2125984,0.0445702
128.4847244,0.0400442
129.7568504,0.053281
131.0289764,0.0238677
132.3011024,0.0152938
133.5732283,0.0197222
134.8453543,0.0368517
136.1174803,0.0410998
137.3896063,0.0535224
138.6617323,0.0349636
139.9338583,0.0595812
141.2059843,0.0556266
142.4781102,0.0629323
143.7502362,0.0481424
145.0223622,0.0320155
146.2944882,0.0242223
147.5666142,0.0261547
148.8387402,0.0389816
150.1108661,0.0242242
151.3829921,0.0388248
152.6551181,0.035628
153.9272441,0.0321371
155.1993701,0.0447368
156.4714961,0.0464239
157.743622,0.0567447
159.015748,0.0474249
160.287874,0.0557389
161.56,0.042626
