X_um,Y_dev_um
2150.6276150627614,-86.36750348675035
2147.8382147838215,-86.36750348675035
2145.0488145048816,-83.57810320781033
2142.2594142259413,-83.57810320781033
2139.4700139470015,-83.57810320781033
2136.6806136680616,-80.7887029288703
2133.8912133891213,-80.7887029288703
2131.1018131101814,-80.7887029288703
2128.3124128312415,-77.99930264993027
2125.523012552301,-77.99930264993027
2122.7336122733614,-77.99930264993027
2122.7336122733614,-75.20990237099024
2119.9442119944215,-75.20990237099024
2117.154811715481,-75.20990237099024
2114.3654114365413,-75.20990237099024
2111.576011157601,-75.20990237099024
2108.786610878661,-75.20990237099024
2105.9972105997213,-75.20990237099024
2103.207810320781,-72.42050209205021
2100.418410041841,-72.42050209205021
2097.629009762901,-72.42050209205021
2094.839609483961,-72.42050209205021
2094.839609483961,-69.63110181311018
2092.050209205021,-69.63110181311018
2089.260808926081,-69.63110181311018
2089.260808926081,-66.84170153417016
2089.260808926081,-64.05230125523013
2086.471408647141,-64.05230125523013
2086.471408647141,-61.2629009762901
2083.682008368201,-61.2629009762901
2083.682008368201,-58.47350069735007
2080.892608089261,-58.47350069735007
2080.892608089261,-55.68410041841005
2078.103207810321,-52.89470013947002
2075.313807531381,-50.10529986052999
2075.313807531381,-47.31589958158996
2072.5244072524406,-47.31589958158996
2069.7350069735007,-47.31589958158996
2069.7350069735007,-44.52649930264993
2069.7350069735007,-41.7370990237099
2066.945606694561,-38.94769874476987
2066.945606694561,-36.158298465829844
2064.1562064156205,-36.158298465829844
2064.1562064156205,-33.36889818688982
2064.1562064156205,-30.57949790794979
2061.3668061366807,-30.57949790794979
2061.3668061366807,-27.790097629009765
2058.577405857741,-27.790097629009765
2058.577405857741,-25.000697350069736
2055.7880055788005,-25.000697350069736
2055.7880055788005,-22.211297071129707
2055.7880055788005,-19.421896792189678
2052.9986052998606,-19.421896792189678
2052.9986052998606,-16.632496513249652
2050.2092050209208,-16.632496513249652
2050.2092050209208,-13.843096234309623
2047.4198047419807,-13.843096234309623
2044.6304044630406,-13.843096234309623
2044.6304044630406,-11.053695955369596
2041.8410041841005,-11.053695955369596
2041.8410041841005,-8.264295676429569
2039.0516039051604,-8.264295676429569
2039.0516039051604,-5.47489539748954
2036.2622036262205,-5.47489539748954
2033.4728033472804,-5.47489539748954
2033.4728033472804,-2.685495118549512
2030.6834030683403,-2.685495118549512
2030.6834030683403,0.10390516039051603
2027.8940027894005,2.893305439330544
2027.8940027894005,5.682705718270571
2025.1046025104604,5.682705718270571
