distance,wt_fe
0,0.916767
1.79734375,0.991
3.5946875,0.947008
5.39203125,0.968893
7.189375,0.939308
8.98671875,0.909121
10.7840625,0.948947
12.58140625,0.888152
14.37875,0.988993
16.17609375,0.900201
17.9734375,0.987367
19.77078125,0.906954
21.568125,0.958401
23.36546875,0.984892
25.1628125,0.948239
26.96015625,0.925794
28.7575,0.987015
30.55484375,0.941583
32.3521875,0.933871
34.14953125,0.878219
35.946875,0.915348
37.74421875,0.89142
39.5415625,0.905121
41.33890625,0.839915
43.13625,0.86446
44.93359375,0.289582
46.7309375,0.141833
48.52828125,0.0798275
50.325625,0.0616318
52.12296875,0.0424154
53.9203125,0.0508111
55.71765625,0.0156966
57.515,0.0313726
59.31234375,0.0456883
61.1096875,0.0271841
62.90703125,0.0202605
64.704375,0.00520493
66.50171875,0.0196302
68.2990625,0.0245639
70.09640625,0.0256298
71.89375,0.023985
73.69109375,0.0402836
75.4884375,0.0450248
77.28578125,0.0411766
79.083125,0.0438867
80.88046875,0.0283938
82.6778125,0.0306298
84.47515625,0.0356273
86.2725,0.0202988
88.06984375,0.0417413
89.8671875,0.0347037
91.66453125,0.0302807
93.461875,0.0126205
95.25921875,0.0205922
97.0565625,0.0370154
98.85390625,0.0336064
100.65125,0.0325246
102.4485938,0.0193002
104.2459375,0.0302463
106.0432813,0.0263499
107.840625,0.0264714
109.6379688,0.0282886
111.4353125,0.0221842
113.2326563,0.0268855
115.03,0.0257931
116.8273438,0.0276394
118.6246875,0.0255876
120.4220313,0.0285489
122.219375,0.0260656
124.0167188,0.0233534
125.8140625,0.0387453
127.6114063,0.0213377
129.40875,0.0174201
131.2060938,0.0224086
133.0034375,0.0221306
134.8007813,0.0225185
136.598125,0.0205001
138.3954688,0.0217629
140.1928125,0.0248225
141.9901563,0.0225359
143.7875,0.0240438
145.5848438,0.0218279
147.3821875,0.0231222
149.1795313,0.0256514
150.976875,0.0215648
152.7742188,0.023579
154.5715625,0.0172457
156.3689063,0.017959
158.16625,0.0198171
159.9635938,0.0157866
161.7609375,0.0204784
163.5582813,0.0181251
165.355625,0.0231456
167.1529688,0.0233293
168.9503125,0.0197978
170.7476563,0.0224514
172.545,0.0236883
174.3423438,0.0155391
176.1396875,0.0254594
177.9370313,0.0182463
179.734375,0.0183061
181.5317188,0.0170077
183.3290625,0.0165325
185.1264063,0.017665
186.92375,0.0146407
188.7210938,0.00356109
190.5184375,0.0031337
192.3157813,0.00142299
194.113125,0.00435493
195.9104688,0.00165602
197.7078125,0.00368125
199.5051563,3.61E-07
201.3025,0.0178714
203.0998438,0.0188073
204.8971875,0.0178693
206.6945313,0.0193904
208.491875,0.0209711
210.2892188,0.0201887
212.0865625,0.0171591
213.8839063,0.0182526
215.68125,0.0177581
217.4785938,0.0168966
219.2759375,0.0205493
221.0732813,0.0182703
222.870625,0.0172398
224.6679688,0.0186319
226.4653125,0.0221443
228.2626563,0.0181815
