distance,fe
0,0.985489
1.022362205,0.982968
2.044724409,0.986818
3.067086614,0.980847
4.089448819,0.985918
5.111811024,0.980064
6.134173228,0.870475
7.156535433,0.181856
8.178897638,0.114851
9.201259843,0.102029
10.22362205,0.0933762
11.24598425,0.09671
12.26834646,0.0817094
13.29070866,0.0575281
14.31307087,0.0218947
15.33543307,0.0384905
16.35779528,0.0432121
17.38015748,0.067731
18.40251969,0.0764539
19.42488189,0.0812947
20.44724409,0.0717985
21.4696063,0.0803147
22.4919685,0.0759479
23.51433071,0.0758566
24.53669291,0.0585319
25.55905512,0.0511173
26.58141732,0.0653153
27.60377953,0.0747474
28.62614173,0.0655271
29.64850394,0.0792342
30.67086614,0.0611662
31.69322835,0.0524825
32.71559055,0.0524043
33.73795276,0.0481642
34.76031496,0.0674783
35.78267717,0.0699669
36.80503937,0.0714389
37.82740157,0.0663474
38.84976378,0.069515
39.87212598,0.0551791
40.89448819,0.0441255
41.91685039,0.070385
42.9392126,0.0540499
43.9615748,0.0446875
44.98393701,0.0478923
46.00629921,0.0466909
47.02866142,0.043572
48.05102362,0.0279435
49.07338583,0.0463505
50.09574803,0.0402323
51.11811024,0.0492831
52.14047244,0.044308
53.16283465,0.0417431
54.18519685,0.0399617
55.20755906,0.0410507
56.22992126,0.037309
57.25228346,0.0401623
58.27464567,0.0475315
59.29700787,0.04239
60.31937008,0.0347212
61.34173228,0.0549821
62.36409449,0.0298372
63.38645669,0.0517614
64.4088189,0.0392134
65.4311811,0.0646472
66.45354331,0.0684705
67.47590551,0.0564727
68.49826772,0.0443177
69.52062992,0.0399762
70.54299213,0.0370678
71.56535433,0.036722
72.58771654,0.0518927
73.61007874,0.0613714
74.63244094,0.0533201
75.65480315,0.0557281
76.67716535,0.044031
77.69952756,0.0542457
78.72188976,0.0575496
79.74425197,0.0456148
80.76661417,0.0717179
81.78897638,0.0623742
82.81133858,0.042074
83.83370079,0.0577265
84.85606299,0.0524724
85.8784252,0.0399392
86.9007874,0.0529453
87.92314961,0.0601059
88.94551181,0.0562545
89.96787402,0.0448803
90.99023622,0.0558375
92.01259843,0.0510061
93.03496063,0.0600686
94.05732283,0.0496259
95.07968504,0.0494062
96.10204724,0.0499777
97.12440945,0.0604829
98.14677165,0.0549011
99.16913386,0.0513522
100.1914961,0.0599946
101.2138583,0.0618151
102.2362205,0.0447656
103.2585827,0.0519456
104.2809449,0.0549997
105.3033071,0.0602967
106.3256693,0.0556175
107.3480315,0.0495109
108.3703937,0.047559
109.3927559,0.0497689
110.4151181,0.0489848
111.4374803,0.0517104
112.4598425,0.0568759
113.4822047,0.0405577
114.5045669,0.0560737
115.5269291,0.0466124
116.5492913,0.0450239
117.5716535,0.0480517
118.5940157,0.0543547
119.616378,0.0538349
120.6387402,0.054366
121.6611024,0.0458398
122.6834646,0.0501657
123.7058268,0.0334292
124.728189,0.0421909
125.7505512,0.0493023
126.7729134,0.0420314
127.7952756,0.0482203
128.8176378,0.0485008
129.84,0.0157978
