X_(px),Y_deviation_(px)
200.000,-21.948
200.000,-20.948
201.000,-20.948
202.000,-20.948
203.000,-20.948
204.000,-20.948
204.000,-19.948
204.000,-18.948
204.000,-17.948
204.000,-16.948
204.000,-15.948
204.000,-14.948
204.000,-13.948
204.000,-12.948
204.000,-11.948
204.000,-10.948
204.000,-9.948
204.000,-8.948
205.000,-8.948
206.000,-8.948
207.000,-8.948
208.000,-8.948
209.000,-8.948
210.000,-8.948
211.000,-8.948
212.000,-8.948
213.000,-8.948
214.000,-8.948
215.000,-8.948
216.000,-8.948
217.000,-8.948
218.000,-8.948
219.000,-8.948
220.000,-8.948
220.000,-9.948
220.000,-10.948
220.000,-11.948
220.000,-12.948
221.000,-12.948
222.000,-12.948
223.000,-12.948
224.000,-12.948
224.000,-13.948
224.000,-14.948
224.000,-15.948
224.000,-16.948
224.000,-17.948
224.000,-18.948
224.000,-19.948
224.000,-20.948
225.000,-20.948
226.000,-20.948
227.000,-20.948
228.000,-20.948
228.000,-21.948
228.000,-22.948
228.000,-23.948
228.000,-24.948
228.000,-25.948
228.000,-26.948
228.000,-27.948
228.000,-28.948
229.000,-28.948
230.000,-28.948
231.000,-28.948
232.000,-28.948
233.000,-28.948
234.000,-28.948
235.000,-28.948
236.000,-28.948
237.000,-28.948
238.000,-28.948
239.000,-28.948
240.000,-28.948
241.000,-28.948
242.000,-28.948
243.000,-28.948
244.000,-28.948
245.000,-28.948
246.000,-28.948
247.000,-28.948
248.000,-28.948
249.000,-28.948
250.000,-28.948
251.000,-28.948
252.000,-28.948
252.707,-28.241
253.414,-27.534
254.121,-26.827
254.828,-26.120
255.536,-25.413
256.421,-24.948
257.421,-24.948
258.421,-24.948
259.421,-24.948
260.000,-24.133
260.000,-23.133
260.000,-22.133
260.000,-21.133
260.983,-20.948
261.983,-20.948
262.983,-20.948
263.983,-20.948
264.983,-20.948
265.983,-20.948
266.983,-20.948
267.983,-20.948
268.000,-19.948
268.000,-18.948
268.000,-17.948
268.000,-16.948
269.000,-16.948
270.000,-16.948
271.000,-16.948
272.000,-16.948
273.000,-16.948
274.000,-16.948
275.000,-16.948
276.000,-16.948
276.000,-15.948
276.000,-14.948
276.000,-13.948
276.000,-12.948
277.000,-12.948
278.000,-12.948
279.000,-12.948
280.000,-12.948
280.000,-11.948
280.000,-10.948
280.000,-9.948
280.000,-8.948
281.000,-8.948
282.000,-8.948
283.000,-8.948
284.000,-8.948
285.000,-8.948
286.000,-8.948
287.000,-8.948
288.000,-8.948
289.000,-8.948
290.000,-8.948
291.000,-8.948
292.000,-8.948
292.000,-7.948
292.000,-6.948
292.000,-5.948
292.000,-4.948
293.000,-4.948
294.000,-4.948
295.000,-4.948
296.000,-4.948
296.000,-3.948
296.000,-2.948
296.000,-1.948
296.000,-0.948
297.000,-0.948
298.000,-0.948
299.000,-0.948
300.000,-0.948
301.000,-0.948
302.000,-0.948
303.000,-0.948
304.000,-0.948
304.000,0.052
304.000,1.052
304.000,2.052
304.000,3.052
305.000,3.052
306.000,3.052
307.000,3.052
308.000,3.052
309.000,3.052
310.000,3.052
311.000,3.052
312.000,3.052
312.707,2.345
313.414,1.638
314.121,0.930
314.828,0.223
