0.000000, 0.001812, 0.000000
0.000165, 0.003260, 0.000000
0.000330, 0.004574, 0.000000
0.000495, 0.005787, 0.000000
0.000659, 0.006921, 0.000000
0.000824, 0.007986, 0.000000
0.000989, 0.008993, 0.000000
0.001154, 0.009949, 0.000000
0.001319, 0.010858, 0.000000
0.001484, 0.011727, 0.000000
0.001648, 0.012559, 0.000000
0.001813, 0.013356, 0.000000
0.001978, 0.014122, 0.000000
0.002143, 0.014858, 0.000000
0.002308, 0.015568, 0.000000
0.002473, 0.016251, 0.000000
0.002638, 0.016912, 0.000000
0.002802, 0.017549, 0.000000
0.002967, 0.018166, 0.000000
0.003132, 0.018762, 0.000000
0.003297, 0.019340, 0.000000
0.003462, 0.019899, 0.000000
0.003627, 0.020441, 0.000000
0.003792, 0.020966, 0.000000
0.003956, 0.021476, 0.000000
0.004121, 0.021971, 0.000000
0.004286, 0.022451, 0.000000
0.004451, 0.022917, 0.000000
0.004616, 0.023369, 0.000000
0.004781, 0.023809, 0.000000
0.004945, 0.024236, 0.000000
0.005110, 0.024651, 0.000000
0.005275, 0.025055, 0.000000
0.005440, 0.025447, 0.000000
0.005605, 0.025828, 0.000000
0.005770, 0.026199, 0.000000
0.005935, 0.026559, 0.000000
0.006099, 0.026909, 0.000000
0.006264, 0.027250, 0.000000
0.006429, 0.027581, 0.000000
0.006594, 0.027903, 0.000000
0.006759, 0.028215, 0.000000
0.006924, 0.028520, 0.000000
0.007088, 0.028815, 0.000000
0.007253, 0.029102, 0.000000
0.007418, 0.029382, 0.000000
0.007583, 0.029653, 0.000000
0.007748, 0.029916, 0.000000
0.007913, 0.030172, 0.000000
0.008078, 0.030420, 0.000000
0.008242, 0.030662, 0.000000
0.008407, 0.030896, 0.000000
0.008572, 0.031123, 0.000000
0.008737, 0.031343, 0.000000
0.008902, 0.031557, 0.000000
0.009067, 0.031764, 0.000000
0.009232, 0.031964, 0.000000
0.009396, 0.032158, 0.000000
0.009561, 0.032346, 0.000000
0.009726, 0.032528, 0.000000
0.009891, 0.032704, 0.000000
0.010056, 0.032874, 0.000000
0.010221, 0.033039, 0.000000
0.010385, 0.033197, 0.000000
0.010550, 0.033350, 0.000000
0.010715, 0.033498, 0.000000
0.010880, 0.033640, 0.000000
0.011045, 0.033777, 0.000000
0.011210, 0.033909, 0.000000
0.011375, 0.034035, 0.000000
0.011539, 0.034156, 0.000000
0.011704, 0.034273, 0.000000
0.011869, 0.034384, 0.000000
0.012034, 0.034491, 0.000000
0.012199, 0.034593, 0.000000
0.012364, 0.034690, 0.000000
0.012528, 0.034782, 0.000000
0.012693, 0.034870, 0.000000
0.012858, 0.034953, 0.000000
0.013023, 0.035032, 0.000000
0.013188, 0.035106, 0.000000
0.013353, 0.035176, 0.000000
0.013518, 0.035242, 0.000000
0.013682, 0.035304, 0.000000
0.013847, 0.035361, 0.000000
0.014012, 0.035414, 0.000000
0.014177, 0.035463, 0.000000
0.014342, 0.035508, 0.000000
0.014507, 0.035549, 0.000000
0.014672, 0.035586, 0.000000
0.014836, 0.035620, 0.000000
0.015001, 0.035649, 0.000000
0.015166, 0.035675, 0.000000
0.015331, 0.035696, 0.000000
0.015496, 0.035714, 0.000000
0.015661, 0.035729, 0.000000
0.015825, 0.035739, 0.000000
0.015990, 0.035746, 0.000000
0.016155, 0.035750, 0.000000
0.016320, 0.035750, 0.000000
