Reduc.:Si Powder-Reduc.,,Silicon,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
3,446.237487792969,28.41418,0,0
3.00999999046326,435.830993652344,28.41418,0,162228.421875
3.01999998092651,425.584014892578,47.25405,0,0
3.02999997138977,415.495239257813,47.25405,0,99953.859375
3.03999996185303,405.563354492188,56.06309,0,0
3.04999995231628,395.787109375,56.06309,0,56399.9765625
3.05999994277954,386.165222167969,58.79355,0,0
3.0699999332428,376.696380615234,58.79355,0,1.19854327854361E-28
3.07999992370605,367.379302978516,69.0534,0,0
3.08999991416931,358.212707519531,69.0534,0,13801.5869140625
3.09999990463257,349.195281982422,76.28877,0,0
3.10999989509583,340.325775146484,76.28877,0,19776.076171875
3.11999988555908,331.602874755859,87.92277,0,0
3.13000011444092,323.025268554688,87.92277,0,25801.92578125
3.14000010490417,314.591735839844,,,
3.15000009536743,306.300933837891,,,
3.16000008583069,298.151580810547,,,
3.17000007629395,290.142425537109,,,
3.1800000667572,282.272125244141,,,
3.19000005722046,274.539428710938,,,
3.20000004768372,266.943054199219,,,
3.21000003814697,259.481658935547,,,
3.22000002861023,252.154022216797,,,
3.23000001907349,244.958831787109,,,
3.24000000953674,237.894775390625,,,
3.25,230.960586547852,,,
3.25999999046326,224.154983520508,,,
3.26999998092651,217.476669311523,,,
3.27999997138977,210.924346923828,,,
3.28999996185303,204.496734619141,,,
3.29999995231628,198.19255065918,,,
3.30999994277954,192.010513305664,,,
3.3199999332428,185.949310302734,,,
3.32999992370605,180.007659912109,,,
3.33999991416931,174.184295654297,,,
3.34999990463257,168.477905273438,,,
3.35999989509583,162.88720703125,,,
3.36999988555908,157.410934448242,,,
3.38000011444092,152.047760009766,,,
3.39000010490417,146.796417236328,,,
3.40000009536743,141.655624389648,,,
3.41000008583069,136.624084472656,,,
3.42000007629395,131.700500488281,,,
3.4300000667572,126.883605957031,,,
3.44000005722046,122.172096252441,,,
3.45000004768372,117.564682006836,,,
3.46000003814697,113.060089111328,,,
3.47000002861023,108.657012939453,,,
3.48000001907349,104.354179382324,,,
3.49000000953674,100.150291442871,,,
3.5,96.044059753418,,,
3.50999999046326,92.0342025756836,,,
3.51999998092651,88.1194305419922,,,
3.52999997138977,84.298454284668,,,
3.53999996185303,80.5699844360352,,,
3.54999995231628,76.932731628418,,,
3.55999994277954,73.3854141235352,,,
3.5699999332428,69.9267349243164,,,
3.57999992370605,66.5554046630859,,,
3.58999991416931,63.270149230957,,,
3.59999990463257,60.0696716308594,,,
3.60999989509583,56.9526824951172,,,
3.61999988555908,53.9178924560547,,,
3.63000011444092,50.9640159606934,,,
3.64000010490417,48.0897674560547,,,
3.65000009536743,45.2938537597656,,,
3.66000008583069,42.5749893188477,,,
3.67000007629395,39.9318885803223,,,
3.6800000667572,37.3632583618164,,,
3.69000005722046,34.8678092956543,,,
3.70000004768372,32.4442596435547,,,
3.71000003814697,30.0913162231445,,,
3.72000002861023,27.8076934814453,,,
3.73000001907349,25.5921020507813,,,
3.74000000953674,23.4432544708252,,,
3.75,21.3598613739014,,,
3.75999999046326,19.340633392334,,,
3.76999998092651,17.3842868804932,,,
3.77999997138977,15.4895296096802,,,
3.78999996185303,13.6550741195679,,,
3.79999995231628,11.8796339035034,,,
3.80999994277954,10.1619186401367,,,
3.8199999332428,8.50064182281494,,,
3.82999992370605,6.89451456069946,,,
3.83999991416931,5.34224843978882,,,
3.84999990463257,3.8425555229187,,,
3.85999989509583,2.39414739608765,,,
3.86999988555908,0.995736122131348,,,
3.88000011444092,-0.353966534137726,,,
3.89000010490417,-1.6562488079071,,,
3.90000009536743,-2.91239905357361,,,
3.91000008583069,-4.12370491027832,,,
3.92000007629395,-5.29145526885986,,,
3.9300000667572,-6.41693830490112,,,
3.94000005722046,-7.50144147872925,,,
3.95000004768372,-8.5462532043457,,,
3.96000003814697,-9.55266284942627,,,
3.97000002861023,-10.5219573974609,,,
3.98000001907349,-11.4554243087769,,,
3.99000000953674,-12.3543539047241,,,
4,-13.2200326919556,,,
4.01000022888184,-14.0537490844727,,,
4.01999998092651,-14.8567924499512,,,
4.03000020980835,-15.6304502487183,,,
4.03999996185303,-16.3760089874268,,,
4.05000019073486,-17.0947608947754,,,
4.05999994277954,-17.7879905700684,,,
4.07000017166138,-18.4569854736328,,,
4.07999992370605,-19.1030387878418,,,
4.09000015258789,-19.7274341583252,,,
4.09999990463257,-20.3314609527588,,,
4.1100001335144,-20.9164066314697,,,
4.11999988555908,-21.4835624694824,,,
4.13000011444092,-22.0342140197754,,,
4.1399998664856,-22.5696487426758,,,
4.15000009536743,-23.091157913208,,,
4.15999984741211,-23.6000270843506,,,
4.17000007629395,-24.0975456237793,,,
4.17999982833862,-24.5850009918213,,,
4.19000005722046,-25.0636806488037,,,
4.19999980926514,-25.534875869751,,,
4.21000003814697,-25.9998722076416,,,
4.21999979019165,-26.4599590301514,,,
4.23000001907349,-26.9164237976074,,,
4.23999977111816,-27.3705539703369,,,
4.25,-27.8236389160156,,,
4.26000022888184,-28.2769680023193,,,
4.26999998092651,-28.7318267822266,,,
4.28000020980835,-29.1895046234131,,,
4.28999996185303,-29.6512908935547,,,
4.30000019073486,-30.1184730529785,,,
4.30999994277954,-30.5923366546631,,,
4.32000017166138,-31.0741748809814,,,
4.32999992370605,-31.5652713775635,,,
4.34000015258789,-32.0669174194336,,,
4.34999990463257,-32.5803985595703,,,
4.3600001335144,-33.107006072998,,,
4.36999988555908,-33.6480255126953,,,
4.38000011444092,-34.2047462463379,,,
4.3899998664856,-34.7784538269043,,,
4.40000009536743,-35.3704414367676,,,
4.40999984741211,-35.9819946289063,,,
4.42000007629395,-36.6144027709961,,,
4.42999982833862,-37.2689514160156,,,
4.44000005722046,-37.9469299316406,,,
4.44999980926514,-38.6496276855469,,,
4.46000003814697,-39.3783340454102,,,
4.46999979019165,-40.1343307495117,,,
4.48000001907349,-40.9189147949219,,,
4.48999977111816,-41.7333679199219,,,
4.5,-42.5789794921875,,,
4.51000022888184,-43.4570426940918,,,
