Residual,,Error,,Error,
2θ - °,Intensity - cps,2θ - °,Intensity - cps,2θ - °,Intensity - cps
3,70.7961349487305,3,-33.3333320617676,3,33.3333320617676
3.00999999046326,36.0589065551758,3.00999999046326,-23.5702266693115,3.00999999046326,23.5702266693115
3.01999998092651,1.33838057518005,3.01999998092651,-16.6666660308838,3.01999998092651,16.6666660308838
3.02999997138977,-0.0321892760694027,3.02999997138977,-16.6666660308838,3.02999997138977,16.6666660308838
3.03999996185303,15.2804498672485,3.03999996185303,-16.6666660308838,3.03999996185303,16.6666660308838
3.04999995231628,30.6095504760742,3.04999995231628,-23.5702266693115,3.04999995231628,23.5702266693115
3.05999994277954,29.288366317749,3.05999994277954,-23.5702266693115,3.05999994277954,23.5702266693115
3.0699999332428,-5.34985017776489,3.0699999332428,-16.6666660308838,3.0699999332428,16.6666660308838
3.07999992370605,10.0281534194946,3.07999992370605,-16.6666660308838,3.07999992370605,16.6666660308838
3.08999991416931,-7.91103601455688,3.08999991416931,-16.6666660308838,3.08999991416931,16.6666660308838
3.09999990463257,7.49916744232178,3.09999990463257,-16.6666660308838,3.09999990463257,16.6666660308838
3.10999989509583,56.2586822509766,3.10999989509583,-33.3333320617676,3.10999989509583,33.3333320617676
3.11999988555908,21.7007637023926,3.11999988555908,-23.5702266693115,3.11999988555908,23.5702266693115
3.13000011444092,53.8253288269043,3.13000011444092,-33.3333320617676,3.13000011444092,33.3333320617676
3.14000010490417,2.63230013847351,3.14000010490417,-16.6666660308838,3.14000010490417,16.6666660308838
3.15000009536743,18.1215934753418,3.15000009536743,-23.5702266693115,3.15000009536743,23.5702266693115
3.16000008583069,0.293131679296494,3.16000008583069,-16.6666660308838,3.16000008583069,16.6666660308838
3.17000007629395,15.8134984970093,3.17000007629395,-23.5702266693115,3.17000007629395,23.5702266693115
3.1800000667572,31.3492813110352,3.1800000667572,-28.8675136566162,3.1800000667572,28.8675136566162
3.19000005722046,-3.09960007667542,3.19000005722046,-16.6666660308838,3.19000005722046,16.6666660308838
3.20000004768372,12.4667730331421,3.20000004768372,-23.5702266693115,3.20000004768372,23.5702266693115
3.21000003814697,28.0483207702637,3.21000003814697,-28.8675136566162,3.21000003814697,28.8675136566162
3.22000002861023,60.3116302490234,3.22000002861023,-37.2677993774414,3.22000002861023,37.2677993774414
3.23000001907349,42.5899505615234,3.23000001907349,-33.3333320617676,3.23000001907349,33.3333320617676
3.24000000953674,8.21653842926025,3.24000000953674,-23.5702266693115,3.24000000953674,23.5702266693115
3.25,23.8579788208008,3.25,-28.8675136566162,3.25,28.8675136566162
3.25999999046326,6.18085861206055,3.25999999046326,-23.5702266693115,3.25999999046326,23.5702266693115
3.26999998092651,-28.1482372283936,3.26999998092651,-16.6666660308838,3.26999998092651,16.6666660308838
3.27999997138977,20.8706111907959,3.27999997138977,-28.8675136566162,3.27999997138977,28.8675136566162
3.28999996185303,-13.4293413162231,3.28999996185303,-16.6666660308838,3.28999996185303,16.6666660308838
3.29999995231628,2.28515481948853,3.29999995231628,-23.5702266693115,3.29999995231628,23.5702266693115
3.30999994277954,34.6806869506836,3.30999994277954,-33.3333320617676,3.30999994277954,33.3333320617676
3.3199999332428,-16.2428226470947,3.3199999332428,-16.6666660308838,3.3199999332428,16.6666660308838
3.32999992370605,-0.485458850860596,3.32999992370605,-23.5702266693115,3.32999992370605,23.5702266693115
3.33999991416931,15.2860336303711,3.33999991416931,-28.8675136566162,3.33999991416931,28.8675136566162
3.34999990463257,-2.26175856590271,3.34999990463257,-23.5702266693115,3.34999990463257,23.5702266693115
3.35999989509583,-3.12891697883606,3.35999989509583,-23.5702266693115,3.35999989509583,23.5702266693115
3.36999988555908,-3.98218846321106,3.36999988555908,-23.5702266693115,3.36999988555908,23.5702266693115
3.38000011444092,-4.82165336608887,3.38000011444092,-23.5702266693115,3.38000011444092,23.5702266693115
3.39000010490417,-22.314058303833,3.39000010490417,-16.6666660308838,3.39000010490417,16.6666660308838
3.40000009536743,-39.7928199768066,3.40000009536743,-16.6666660308838,3.40000009536743,16.6666660308838
3.41000008583069,-23.9246807098389,3.41000008583069,-16.6666660308838,3.41000008583069,16.6666660308838
3.42000007629395,-8.04305744171143,3.42000007629395,-23.5702266693115,3.42000007629395,23.5702266693115
3.4300000667572,-8.81469631195068,3.4300000667572,-23.5702266693115,3.4300000667572,23.5702266693115
3.44000005722046,-26.2396793365479,3.44000005722046,-16.6666660308838,3.44000005722046,16.6666660308838
3.45000004768372,-26.9847507476807,3.45000004768372,-16.6666660308838,3.45000004768372,16.6666660308838
3.46000003814697,-11.0499935150146,3.46000003814697,-23.5702266693115,3.46000003814697,23.5702266693115
3.47000002861023,-28.4354877471924,3.47000002861023,-16.6666660308838,3.47000002861023,16.6666660308838
3.48000001907349,-29.1413135528564,3.48000001907349,-16.6666660308838,3.48000001907349,16.6666660308838
3.49000000953674,-46.5008850097656,3.49000000953674,-16.6666660308838,3.49000000953674,16.6666660308838
3.5,-47.1809463500977,3.5,-16.6666660308838,3.5,16.6666660308838
3.50999999046326,2.15175127983093,3.50999999046326,-28.8675136566162,3.50999999046326,28.8675136566162
3.51999998092651,-31.8362045288086,3.51999998092651,-16.6666660308838,3.51999998092651,16.6666660308838
3.52999997138977,-15.8115606307983,3.52999997138977,-23.5702266693115,3.52999997138977,23.5702266693115
3.53999996185303,-16.4410648345947,3.53999996185303,-23.5702266693115,3.53999996185303,23.5702266693115
3.54999995231628,-33.724796295166,3.54999995231628,-16.6666660308838,3.54999995231628,16.6666660308838
3.55999994277954,-17.6628360748291,3.55999994277954,-23.5702266693115,3.55999994277954,23.5702266693115
3.5699999332428,-1.58859896659851,3.5699999332428,-28.8675136566162,3.5699999332428,28.8675136566162
3.57999992370605,-18.8354969024658,3.57999992370605,-23.5702266693115,3.57999992370605,23.5702266693115
3.58999991416931,-19.4036121368408,3.58999991416931,-23.5702266693115,3.58999991416931,23.5702266693115
3.59999990463257,-19.9596920013428,3.59999990463257,-23.5702266693115,3.59999990463257,23.5702266693115
3.60999989509583,-37.170482635498,3.60999989509583,-16.6666660308838,3.60999989509583,16.6666660308838
3.61999988555908,-21.0360622406006,3.61999988555908,-23.5702266693115,3.61999988555908,23.5702266693115
3.63000011444092,-4.88984870910645,3.63000011444092,-28.8675136566162,3.63000011444092,28.8675136566162
3.64000010490417,-38.7319221496582,3.64000010490417,-16.6666660308838,3.64000010490417,16.6666660308838
3.65000009536743,-39.2290267944336,3.65000009536743,-16.6666660308838,3.65000009536743,16.6666660308838
3.66000008583069,-6.3812427520752,3.66000008583069,-28.8675136566162,3.66000008583069,28.8675136566162
3.67000007629395,-23.5219879150391,3.67000007629395,-23.5702266693115,3.67000007629395,23.5702266693115
3.6800000667572,-40.6513404846191,3.6800000667572,-16.6666660308838,3.6800000667572,16.6666660308838
3.69000005722046,-24.4360466003418,3.69000005722046,-23.5702266693115,3.69000005722046,23.5702266693115
3.70000004768372,-41.542854309082,3.70000004768372,-16.6666660308838,3.70000004768372,16.6666660308838
3.71000003814697,-41.9718437194824,3.71000003814697,-16.6666660308838,3.71000003814697,16.6666660308838
3.72000002861023,-25.7230968475342,3.72000002861023,-23.5702266693115,3.72000002861023,23.5702266693115
3.73000001907349,-26.1300258636475,3.73000001907349,-23.5702266693115,3.73000001907349,23.5702266693115
3.74000000953674,-43.1927108764648,3.74000000953674,-16.6666660308838,3.74000000953674,16.6666660308838
3.75,-26.9112358093262,3.75,-23.5702266693115,3.75,23.5702266693115
3.75999999046326,-10.619010925293,3.75999999046326,-28.8675136566162,3.75999999046326,28.8675136566162
3.76999998092651,5.68388271331787,3.76999998092651,-33.3333320617676,3.76999998092651,33.3333320617676
3.77999997138977,38.6640319824219,3.77999997138977,-40.8248291015625,3.77999997138977,40.8248291015625
3.78999996185303,4.9880199432373,3.78999996185303,-33.3333320617676,3.78999996185303,33.3333320617676
3.79999995231628,21.3224353790283,3.79999995231628,-37.2677993774414,3.79999995231628,37.2677993774414
