Reduc.:Test_Brass-Reduc.,,Cu Zn,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
0,2729.8623046875,30.53466,0,0
0.00999999977648258,2495.74462890625,30.53466,0,54.6520156860352
0.0199999995529652,2274.92138671875,43.72679,0,0
0.0299999993294477,2067.0166015625,43.72679,0,61809.1953125
0.0399999991059303,1871.65466308594,54.27002,0,0
0.0500000007450581,1688.45971679688,54.27002,0,22.8059635162354
0.0599999986588955,1517.05603027344,63.55823,0,0
0.0700000002980232,1357.06787109375,63.55823,0,8643.3740234375
0.0799999982118607,1208.11950683594,72.14494,0,0
0.0900000035762787,1069.83508300781,72.14494,0,38.3856201171875
0.100000001490116,941.838928222656,80.33239,0,0
0.109999999403954,823.755249023438,80.33239,0,15166.2783203125
0.119999997317791,715.208312988281,,,
0.129999995231628,615.822326660156,,,
0.140000000596046,525.221557617188,,,
0.150000005960464,443.030212402344,,,
0.159999996423721,368.87255859375,,,
0.170000001788139,302.372863769531,,,
0.180000007152557,243.155319213867,,,
0.189999997615814,190.844207763672,,,
0.200000002980232,145.063735961914,,,
0.209999993443489,105.438163757324,,,
0.219999998807907,71.5917282104492,,,
0.230000004172325,43.1486701965332,,,
0.239999994635582,19.7332363128662,,,
0.25,0.969663858413696,,,
0.259999990463257,-13.5178060531616,,,
0.270000010728836,-24.1049308776855,,,
0.280000001192093,-31.1674709320068,,,
0.28999999165535,-35.081184387207,,,
0.300000011920929,-36.2218246459961,,,
0.310000002384186,-34.965160369873,,,
0.319999992847443,-31.6869411468506,,,
0.330000013113022,-26.7629299163818,,,
0.340000003576279,-20.568883895874,,,
0.349999994039536,-13.480562210083,,,
0.360000014305115,-5.87372398376465,,,
0.370000004768372,1.87587344646454,,,
0.379999995231628,9.39247035980225,,,
0.389999985694885,16.3663349151611,,,
0.400000005960464,22.7518424987793,,,
0.409999996423721,28.5693893432617,,,
0.419999986886978,33.8393783569336,,,
0.430000007152557,38.5822067260742,,,
0.439999997615814,42.8182716369629,,,
0.449999988079071,46.5679817199707,,,
0.46000000834465,49.8517303466797,,,
0.469999998807907,52.6899185180664,,,
0.479999989271164,55.1029472351074,,,
0.490000009536743,57.111213684082,,,
0.5,58.7351226806641,,,
0.509999990463257,59.9950675964355,,,
0.519999980926514,60.911449432373,,,
0.529999971389771,61.5046730041504,,,
0.540000021457672,61.7951316833496,,,
0.550000011920929,61.8032302856445,,,
0.560000002384186,61.5493659973145,,,
0.569999992847443,61.0539436340332,,,
0.579999983310699,60.3373527526855,,,
0.589999973773956,59.4200019836426,,,
0.600000023841858,58.3222885131836,,,
0.610000014305115,57.0646095275879,,,
0.620000004768372,55.6673698425293,,,
0.629999995231628,54.1509666442871,,,
0.639999985694885,52.5357971191406,,,
0.649999976158142,50.8422660827637,,,
0.660000026226044,49.0907707214355,,,
0.670000016689301,47.3017082214355,,,
0.680000007152557,45.4954833984375,,,
0.689999997615814,43.6924934387207,,,
0.699999988079071,41.9131393432617,,,
0.709999978542328,40.1778182983398,,,
0.720000028610229,38.5069313049316,,,
0.730000019073486,36.9208793640137,,,
0.740000009536743,35.4400634765625,,,
0.75,34.0848770141602,,,
0.759999990463257,32.8757286071777,,,
0.769999980926514,31.8283519744873,,,
0.779999971389771,30.939847946167,,,
0.790000021457672,30.202657699585,,,
0.800000011920929,29.6092166900635,,,
0.810000002384186,29.1519680023193,,,
0.819999992847443,28.8233470916748,,,
0.829999983310699,28.6157970428467,,,
0.839999973773956,28.5217552185059,,,
0.850000023841858,28.5336608886719,,,
0.860000014305115,28.6439514160156,,,
0.870000004768372,28.8450698852539,,,
0.879999995231628,29.1294536590576,,,
0.889999985694885,29.4895439147949,,,
0.899999976158142,29.9177761077881,,,
0.910000026226044,30.4065914154053,,,
0.920000016689301,30.948429107666,,,
0.930000007152557,31.5357303619385,,,
0.939999997615814,32.1609306335449,,,
0.949999988079071,32.8164710998535,,,
0.959999978542328,33.4947929382324,,,
0.970000028610229,34.1883354187012,,,
0.980000019073486,34.8895301818848,,,
0.990000009536743,35.5908279418945,,,
1,36.2846603393555,,,
1.00999999046326,36.9634666442871,,,
1.01999998092651,37.6196899414063,,,
1.02999997138977,38.2457695007324,,,
1.03999996185303,38.8341407775879,,,
1.04999995231628,39.3772430419922,,,
1.05999994277954,39.8675193786621,,,
1.07000005245209,40.2974090576172,,,
1.08000004291534,40.6593475341797,,,
1.0900000333786,40.9457740783691,,,
1.10000002384186,41.1491355895996,,,
1.11000001430511,41.2618598937988,,,
1.12000000476837,41.2763938903809,,,
1.12999999523163,41.1851768493652,,,
1.13999998569489,40.9806442260742,,,
1.14999997615814,40.6552391052246,,,
1.1599999666214,40.2039451599121,,,
1.16999995708466,39.6319580078125,,,
1.17999994754791,38.9470138549805,,,
1.19000005722046,38.1568489074707,,,
1.20000004768372,37.2692070007324,,,
1.21000003814697,36.2918243408203,,,
1.22000002861023,35.2324371337891,,,
1.23000001907349,34.0987892150879,,,
1.24000000953674,32.8986129760742,,,
1.25,31.6396541595459,,,
1.25999999046326,30.3296489715576,,,
1.26999998092651,28.9763355255127,,,
1.27999997138977,27.5874538421631,,,
1.28999996185303,26.1707420349121,,,
1.29999995231628,24.7339382171631,,,
1.30999994277954,23.284782409668,,,
1.32000005245209,21.8310146331787,,,
1.33000004291534,20.38037109375,,,
1.3400000333786,18.9405899047852,,,
1.35000002384186,17.5194149017334,,,
1.36000001430511,16.1245803833008,,,
1.37000000476837,14.7638263702393,,,
1.37999999523163,13.4448928833008,,,
1.38999998569489,12.1755170822144,,,
1.39999997615814,10.9634389877319,,,
1.4099999666214,9.81639766693115,,,
1.41999995708466,8.74213027954102,,,
1.42999994754791,7.74837732315063,,,
1.44000005722046,6.84287738800049,,,
1.45000004768372,6.03336906433105,,,
1.46000003814697,5.32759094238281,,,
1.47000002861023,4.73526000976563,,,
1.48000001907349,4.27400159835815,,,
1.49000000953674,3.96342062950134,,,
1.5,3.82312059402466,,,
1.50999999046326,3.87270498275757,,,
1.51999998092651,4.1317777633667,,,
1.52999997138977,4.61994314193726,,,
1.53999996185303,5.35680437088013,,,
1.54999995231628,6.36196613311768,,,
1.55999994277954,7.65503120422363,,,
1.57000005245209,9.2556037902832,,,
1.58000004291534,11.1832885742188,,,
1.5900000333786,13.457688331604,,,
1.60000002384186,16.0984077453613,,,
1.61000001430511,19.1250476837158,,,
1.62000000476837,22.3139019012451,,,
1.62999999523163,24.4679927825928,,,
1.63999998569489,24.1470336914063,,,
1.64999997615814,19.9107360839844,,,
1.6599999666214,10.3188095092773,,,
1.66999995708466,-6.06903314590454,,,
1.67999994754791,-15.5330543518066,,,
1.69000005722046,56.2865867614746,,,
1.70000004768372,298.909759521484,,,
1.71000003814697,763.421020507813,,,
1.72000002861023,1347.16369628906,,,
1.73000001907349,1909.04565429688,,,
1.74000000953674,2336.353515625,,,
1.75,2629.88745117188,,,
1.75999999046326,2818.826171875,,,
1.76999998092651,2930.15014648438,,,
1.77999997138977,2982.044921875,,,
1.78999996185303,2990.49829101563,,,
1.79999995231628,2971.49780273438,,,
1.80999994277954,2941.03051757813,,,
1.82000005245209,2915.08422851563,,,
1.83000004291534,2906.18774414063,,,
1.8400000333786,2913.03686523438,,,
1.85000002384186,2930.86889648438,,,
1.86000001430511,2954.92114257813,,,
1.87000000476837,2980.4306640625,,,
1.87999999523163,3002.63500976563,,,
1.88999998569489,3017.90893554688,,,
1.89999997615814,3027.1787109375,,,
1.9099999666214,3033.30249023438,,,
1.91999995708466,3038.38549804688,,,
1.92999994754791,3043.71166992188,,,
1.94000005722046,3050.72265625,,,
1.95000004768372,3060.69970703125,,,
1.96000003814697,3074.52270507813,,,
1.97000002861023,3092.50830078125,,,
1.98000001907349,3113.69897460938,,,
1.99000000953674,3134.60424804688,,,
2,3152.30346679688,,,
2.00999999046326,3165.32568359375,,,
2.01999998092651,3173.61206054688,,,
2.02999997138977,3178.34741210938,,,
2.03999996185303,3181.65356445313,,,
2.04999995231628,3186.14697265625,,,
2.05999994277954,3194.36401367188,,,
2.0699999332428,3208.04736328125,,,
2.07999992370605,3227.298828125,,,
2.08999991416931,3249.59765625,,,
2.09999990463257,3271.974609375,,,
2.10999989509583,3294.76538085938,,,
2.11999988555908,3317.78271484375,,,
2.13000011444092,3340.83813476563,,,
2.14000010490417,3363.74462890625,,,
2.15000009536743,3386.31420898438,,,
2.16000008583069,3408.35888671875,,,
2.17000007629395,3429.69140625,,,
2.1800000667572,3450.12353515625,,,
2.19000005722046,3469.46801757813,,,
2.20000004768372,3487.537109375,,,
2.21000003814697,3504.142578125,,,
2.22000002861023,3519.09716796875,,,
2.23000001907349,3532.21313476563,,,
2.24000000953674,3543.302734375,,,
2.25,3552.17797851563,,,
2.25999999046326,3558.6513671875,,,
2.26999998092651,3562.53515625,,,
2.27999997138977,3563.6416015625,,,
2.28999996185303,3561.78295898438,,,
2.29999995231628,3556.771484375,,,
2.30999994277954,3548.41943359375,,,
2.3199999332428,3536.53930664063,,,
2.32999992370605,3520.94311523438,,,
2.33999991416931,3501.443359375,,,
2.34999990463257,3477.85229492188,,,
2.35999989509583,3449.98193359375,,,
2.36999988555908,3417.64477539063,,,
2.38000011444092,3380.65283203125,,,
2.39000010490417,3338.8955078125,,,
2.40000009536743,3292.56860351563,,,
2.41000008583069,3241.9443359375,,,
2.42000007629395,3187.29565429688,,,
2.4300000667572,3128.89501953125,,,
2.44000005722046,3067.01513671875,,,
2.45000004768372,3001.92846679688,,,
2.46000003814697,2933.90747070313,,,
2.47000002861023,2863.22485351563,,,
2.48000001907349,2790.15356445313,,,
2.49000000953674,2714.96557617188,,,
2.5,2637.93383789063,,,
2.50999999046326,2559.3310546875,,,
2.51999998092651,2479.42944335938,,,
2.52999997138977,2398.50170898438,,,
2.53999996185303,2316.82080078125,,,
2.54999995231628,2234.65869140625,,,
2.55999994277954,2152.28857421875,,,
2.5699999332428,2069.98266601563,,,
2.57999992370605,1988.013671875,,,
2.58999991416931,1906.65417480469,,,
2.59999990463257,1826.1767578125,,,
2.60999989509583,1746.85400390625,,,
2.61999988555908,1668.95849609375,,,
2.63000011444092,1592.76281738281,,,
2.64000010490417,1518.53955078125,,,
2.65000009536743,1446.56140136719,,,
2.66000008583069,1377.10083007813,,,
2.67000007629395,1310.43041992188,,,
2.6800000667572,1246.82287597656,,,
2.69000005722046,1186.55065917969,,,
2.70000004768372,1129.82214355469,,,
2.71000003814697,1076.58837890625,,,
2.72000002861023,1026.736328125,,,
2.73000001907349,980.152770996094,,,
2.74000000953674,936.724487304688,,,
2.75,896.338439941406,,,
2.75999999046326,858.881408691406,,,
2.76999998092651,824.240173339844,,,
2.77999997138977,792.301696777344,,,
