Cu_50% CW{1},
2θ - °,Intensity - cps
6.42000007629395,366.666656494141
6.42999982833862,416.666656494141
6.44000005722046,483.333343505859
6.44999980926514,483.333343505859
6.46000003814697,400
6.46999979019165,533.333312988281
6.48000001907349,466.666656494141
6.48999977111816,466.666656494141
6.5,483.333343505859
6.51000022888184,483.333343505859
6.51999998092651,500
6.53000020980835,466.666656494141
6.53999996185303,433.333343505859
6.55000019073486,450
6.55999994277954,483.333343505859
6.57000017166138,483.333343505859
6.57999992370605,533.333312988281
6.59000015258789,450
6.59999990463257,466.666656494141
6.6100001335144,433.333343505859
6.61999988555908,433.333343505859
6.63000011444092,416.666656494141
6.6399998664856,433.333343505859
6.65000009536743,400
6.65999984741211,633.333312988281
6.67000007629395,566.666687011719
6.67999982833862,700
6.69000005722046,483.333343505859
6.69999980926514,466.666656494141
6.71000003814697,466.666656494141
6.71999979019165,433.333343505859
6.73000001907349,383.333343505859
6.73999977111816,516.666687011719
6.75,566.666687011719
6.76000022888184,450
6.76999998092651,466.666656494141
6.78000020980835,550
6.78999996185303,550
6.80000019073486,366.666656494141
6.80999994277954,350
6.82000017166138,466.666656494141
6.82999992370605,500
6.84000015258789,483.333343505859
6.84999990463257,450
6.8600001335144,416.666656494141
6.86999988555908,450
6.88000011444092,600
6.8899998664856,550
6.90000009536743,533.333312988281
6.90999984741211,550
6.92000007629395,400
6.92999982833862,533.333312988281
6.94000005722046,533.333312988281
6.94999980926514,583.333312988281
6.96000003814697,566.666687011719
6.96999979019165,500
6.98000001907349,500
6.98999977111816,550
7,566.666687011719
7.01000022888184,433.333343505859
7.01999998092651,483.333343505859
7.03000020980835,633.333312988281
7.03999996185303,766.666687011719
7.05000019073486,566.666687011719
7.05999994277954,483.333343505859
7.07000017166138,483.333343505859
7.07999992370605,533.333312988281
7.09000015258789,466.666656494141
7.09999990463257,466.666656494141
7.1100001335144,466.666656494141
7.11999988555908,583.333312988281
7.13000011444092,533.333312988281
7.1399998664856,483.333343505859
7.15000009536743,516.666687011719
7.15999984741211,550
7.17000007629395,600
7.17999982833862,616.666687011719
7.19000005722046,516.666687011719
7.19999980926514,633.333312988281
7.21000003814697,550
7.21999979019165,533.333312988281
7.23000001907349,600
7.23999977111816,683.333312988281
7.25,650
7.26000022888184,650
7.26999998092651,600
7.28000020980835,716.666687011719
7.28999996185303,533.333312988281
7.30000019073486,550
7.30999994277954,766.666687011719
7.32000017166138,650
7.32999992370605,633.333312988281
7.34000015258789,633.333312988281
7.34999990463257,716.666687011719
7.3600001335144,666.666687011719
7.36999988555908,700
7.38000011444092,616.666687011719
7.3899998664856,550
7.40000009536743,666.666687011719
7.40999984741211,616.666687011719
7.42000007629395,533.333312988281
7.42999982833862,600
7.44000005722046,633.333312988281
7.44999980926514,716.666687011719
7.46000003814697,633.333312988281
7.46999979019165,633.333312988281
7.48000001907349,700
7.48999977111816,800
7.5,600
7.51000022888184,716.666687011719
7.51999998092651,733.333312988281
7.53000020980835,633.333312988281
7.53999996185303,633.333312988281
7.55000019073486,616.666687011719
7.55999994277954,566.666687011719
7.57000017166138,716.666687011719
7.57999992370605,800
7.59000015258789,566.666687011719
7.59999990463257,666.666687011719
7.6100001335144,766.666687011719
7.61999988555908,950
7.63000011444092,966.666687011719
7.6399998664856,1016.66668701172
7.65000009536743,850
7.65999984741211,733.333312988281
7.67000007629395,783.333312988281
7.67999982833862,883.333312988281
7.69000005722046,800
7.69999980926514,783.333312988281
7.71000003814697,666.666687011719
7.71999979019165,766.666687011719
7.73000001907349,783.333312988281
7.73999977111816,616.666687011719
7.75,700
7.76000022888184,816.666687011719
7.76999998092651,600
7.78000020980835,766.666687011719
7.78999996185303,816.666687011719
7.80000019073486,750
7.80999994277954,683.333312988281
7.82000017166138,733.333312988281
7.82999992370605,733.333312988281
7.84000015258789,766.666687011719
7.84999990463257,683.333312988281
7.8600001335144,850
7.86999988555908,816.666687011719
7.88000011444092,850
7.8899998664856,816.666687011719
7.90000009536743,783.333312988281
7.90999984741211,833.333312988281
7.92000007629395,783.333312988281
7.92999982833862,866.666687011719
7.94000005722046,816.666687011719
7.94999980926514,883.333312988281
7.96000003814697,766.666687011719
7.96999979019165,766.666687011719
7.98000001907349,716.666687011719
7.98999977111816,783.333312988281
8,816.666687011719
8.01000022888184,816.666687011719
8.02000045776367,866.666687011719
8.02999973297119,816.666687011719
8.03999996185303,833.333312988281
8.05000019073486,750
8.0600004196167,816.666687011719
8.06999969482422,916.666687011719
8.07999992370605,900
8.09000015258789,816.666687011719
8.10000038146973,833.333312988281
8.10999965667725,1100
8.11999988555908,966.666687011719
8.13000011444092,783.333312988281
8.14000034332275,933.333312988281
8.14999961853027,1100
8.15999984741211,1016.66668701172
8.17000007629395,1150
8.18000030517578,916.666687011719
8.1899995803833,816.666687011719
8.19999980926514,1116.66662597656
8.21000003814697,933.333312988281
8.22000026702881,950
8.22999954223633,983.333312988281
8.23999977111816,966.666687011719
8.25,1016.66668701172
8.26000022888184,1033.33337402344
8.27000045776367,1200
8.27999973297119,950
8.28999996185303,916.666687011719
8.30000019073486,916.666687011719
8.3100004196167,1033.33337402344
8.31999969482422,866.666687011719
8.32999992370605,1016.66668701172
8.34000015258789,983.333312988281
8.35000038146973,1033.33337402344
8.35999965667725,916.666687011719
8.36999988555908,1066.66662597656
8.38000011444092,1116.66662597656
8.39000034332275,1050
8.39999961853027,983.333312988281
8.40999984741211,1016.66668701172
8.42000007629395,1050
8.43000030517578,1000
8.4399995803833,1000
8.44999980926514,1233.33337402344
8.46000003814697,1166.66662597656
8.47000026702881,1033.33337402344
