Si Wafer,,Si,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
0,65350,28.44732,0,46450.30078125
0.00999999977648258,65133.33203125,28.44732,0,46450.93359375
0.0199999995529652,65416.66796875,47.31131,0,5089.5556640625
0.0299999993294477,66250,47.31131,0,5089.5556640625
0.0399999991059303,64866.66796875,56.13279,0,3605.10571289063
0.0500000007450581,63633.33203125,56.13279,0,3605.11401367188
0.0599999986588955,60633.33203125,58.86731,0,3403.158203125
0.0700000002980232,57316.66796875,58.86731,0,3403.16430664063
0.0799999982118607,55066.66796875,69.14347,0,2896.61987304688
0.0900000035762787,49616.66796875,69.14347,0,2896.62036132813
0.100000001490116,46450,76.3916,0,2537.93701171875
0.109999999403954,41316.66796875,76.3916,0,2537.93725585938
0.119999997317791,37966.66796875,88.04906,0,2981.87939453125
0.129999995231628,33033.33203125,88.04906,0,2981.87939453125
0.140000000596046,30450,,,
0.150000005960464,27116.666015625,,,
0.159999996423721,23600,,,
0.170000001788139,20850,,,
0.180000007152557,18633.333984375,,,
0.189999997615814,16433.333984375,,,
0.200000002980232,14033.3330078125,,,
0.209999993443489,12433.3330078125,,,
0.219999998807907,10483.3330078125,,,
0.230000004172325,9300,,,
0.239999994635582,8416.6669921875,,,
0.25,7550,,,
0.259999990463257,7416.66650390625,,,
0.270000010728836,6916.66650390625,,,
0.280000001192093,6416.66650390625,,,
0.28999999165535,6550,,,
0.300000011920929,6550,,,
0.310000002384186,6833.33349609375,,,
0.319999992847443,6333.33349609375,,,
0.330000013113022,5966.66650390625,,,
0.340000003576279,6400,,,
0.349999994039536,6616.66650390625,,,
0.360000014305115,6416.66650390625,,,
0.370000004768372,6183.33349609375,,,
0.379999995231628,6516.66650390625,,,
0.389999985694885,6533.33349609375,,,
0.400000005960464,6300,,,
0.409999996423721,6183.33349609375,,,
0.419999986886978,6483.33349609375,,,
0.430000007152557,6316.66650390625,,,
0.439999997615814,5916.66650390625,,,
0.449999988079071,5866.66650390625,,,
0.46000000834465,5733.33349609375,,,
0.469999998807907,5933.33349609375,,,
0.479999989271164,6250,,,
0.490000009536743,6233.33349609375,,,
0.5,6133.33349609375,,,
0.509999990463257,6033.33349609375,,,
0.519999980926514,6233.33349609375,,,
0.529999971389771,6450,,,
0.540000021457672,5833.33349609375,,,
0.550000011920929,6100,,,
0.560000002384186,5950,,,
0.569999992847443,5500,,,
0.579999983310699,5316.66650390625,,,
0.589999973773956,5400,,,
0.600000023841858,5200,,,
0.610000014305115,5516.66650390625,,,
0.620000004768372,5166.66650390625,,,
0.629999995231628,5333.33349609375,,,
0.639999985694885,5566.66650390625,,,
0.649999976158142,5283.33349609375,,,
0.660000026226044,5450,,,
0.670000016689301,5016.66650390625,,,
0.680000007152557,5266.66650390625,,,
0.689999997615814,5283.33349609375,,,
0.699999988079071,5250,,,
0.709999978542328,5333.33349609375,,,
0.720000028610229,5233.33349609375,,,
0.730000019073486,5466.66650390625,,,
0.740000009536743,4783.33349609375,,,
0.75,5216.66650390625,,,
0.759999990463257,4933.33349609375,,,
0.769999980926514,5016.66650390625,,,
0.779999971389771,5083.33349609375,,,
0.790000021457672,5333.33349609375,,,
0.800000011920929,4900,,,
0.810000002384186,4516.66650390625,,,
0.819999992847443,4950,,,
0.829999983310699,4783.33349609375,,,
0.839999973773956,4600,,,
0.850000023841858,4816.66650390625,,,
0.860000014305115,4883.33349609375,,,
0.870000004768372,4866.66650390625,,,
0.879999995231628,4800,,,
0.889999985694885,4483.33349609375,,,
0.899999976158142,4450,,,
0.910000026226044,4833.33349609375,,,
0.920000016689301,4833.33349609375,,,
0.930000007152557,4566.66650390625,,,
0.939999997615814,4250,,,
0.949999988079071,4083.33325195313,,,
0.959999978542328,4466.66650390625,,,
0.970000028610229,4466.66650390625,,,
0.980000019073486,4050,,,
0.990000009536743,3983.33325195313,,,
1,3700,,,
1.00999999046326,3816.66674804688,,,
1.01999998092651,3683.33325195313,,,
1.02999997138977,3716.66674804688,,,
1.03999996185303,3700,,,
1.04999995231628,3400,,,
1.05999994277954,3500,,,
1.07000005245209,3583.33325195313,,,
1.08000004291534,3483.33325195313,,,
1.0900000333786,3550,,,
1.10000002384186,3733.33325195313,,,
1.11000001430511,3600,,,
1.12000000476837,3316.66674804688,,,
1.12999999523163,3033.33325195313,,,
1.13999998569489,3183.33325195313,,,
1.14999997615814,2916.66674804688,,,
1.1599999666214,3000,,,
1.16999995708466,3133.33325195313,,,
1.17999994754791,2950,,,
1.19000005722046,3050,,,
1.20000004768372,2633.33325195313,,,
1.21000003814697,3033.33325195313,,,
1.22000002861023,3033.33325195313,,,
1.23000001907349,2933.33325195313,,,
1.24000000953674,3133.33325195313,,,
1.25,3050,,,
1.25999999046326,2900,,,
1.26999998092651,2850,,,
1.27999997138977,2816.66674804688,,,
1.28999996185303,2766.66674804688,,,
1.29999995231628,2633.33325195313,,,
1.30999994277954,2666.66674804688,,,
1.32000005245209,2516.66674804688,,,
1.33000004291534,2616.66674804688,,,
1.3400000333786,2400,,,
1.35000002384186,2483.33325195313,,,
1.36000001430511,2583.33325195313,,,
1.37000000476837,2316.66674804688,,,
1.37999999523163,2500,,,
1.38999998569489,2500,,,
1.39999997615814,2400,,,
1.4099999666214,2200,,,
1.41999995708466,2250,,,
1.42999994754791,2350,,,
1.44000005722046,2300,,,
1.45000004768372,2583.33325195313,,,
1.46000003814697,2350,,,
1.47000002861023,2483.33325195313,,,
1.48000001907349,2483.33325195313,,,
1.49000000953674,2250,,,
1.5,2233.33325195313,,,
1.50999999046326,2300,,,
1.51999998092651,2100,,,
1.52999997138977,2033.33337402344,,,
1.53999996185303,2016.66662597656,,,
1.54999995231628,1900,,,
1.55999994277954,2233.33325195313,,,
1.57000005245209,2116.66674804688,,,
1.58000004291534,2266.66674804688,,,
1.5900000333786,2200,,,
1.60000002384186,1883.33337402344,,,
1.61000001430511,1716.66662597656,,,
1.62000000476837,2016.66662597656,,,
1.62999999523163,2200,,,
1.63999998569489,2083.33325195313,,,
1.64999997615814,1883.33337402344,,,
1.6599999666214,1833.33337402344,,,
1.66999995708466,1700,,,
1.67999994754791,1900,,,
1.69000005722046,2183.33325195313,,,
1.70000004768372,3483.33325195313,,,
1.71000003814697,6016.66650390625,,,
1.72000002861023,8916.6669921875,,,
1.73000001907349,11900,,,
1.74000000953674,13916.6669921875,,,
1.75,15733.3330078125,,,
1.75999999046326,15966.6669921875,,,
1.76999998092651,16050,,,
1.77999997138977,15250,,,
1.78999996185303,14533.3330078125,,,
1.79999995231628,15750,,,
1.80999994277954,15716.6669921875,,,
1.82000005245209,15733.3330078125,,,
1.83000004291534,14650,,,
