Residual,,Error,,Error,
2θ - °,Intensity - cps,2θ - °,Intensity - cps,2θ - °,Intensity - cps
0,955.473449707031,0,-146.249404907227,0,146.249404907227
0.00999999977648258,993.877075195313,0.00999999977648258,-148.136566162109,0.00999999977648258,148.136566162109
0.0199999995529652,1098.89111328125,0.0199999995529652,-153.659072875977,0.0199999995529652,153.659072875977
0.0299999993294477,987.182495117188,0.0299999993294477,-147.196014404297,0.0299999993294477,147.196014404297
0.0399999991059303,925.418151855469,0.0399999991059303,-143.372085571289,0.0399999991059303,143.372085571289
0.0500000007450581,1046.93188476563,0.0500000007450581,-150,0.0500000007450581,150
0.0599999986588955,935.057067871094,0.0599999986588955,-143.372085571289,0.0599999986588955,143.372085571289
0.0700000002980232,839.794189453125,0.0700000002980232,-137.436859130859,0.0700000002980232,137.436859130859
0.0799999982118607,694.476806640625,0.0799999982118607,-128.019088745117,0.0799999982118607,128.019088745117
0.0900000035762787,615.771850585938,0.0900000035762787,-122.474487304688,0.0900000035762787,122.474487304688
0.100000001490116,470.346343994141,0.100000001490116,-111.803398132324,0.100000001490116,111.803398132324
0.109999999403954,458.200531005859,0.109999999403954,-110.554161071777,0.109999999403954,110.554161071777
0.119999997317791,412.668060302734,0.119999997317791,-106.718734741211,0.119999997317791,106.718734741211
0.129999995231628,300.415893554688,0.129999995231628,-97.1825332641602,0.129999995231628,97.1825332641602
0.140000000596046,188.110992431641,0.140000000596046,-86.6025390625,0.140000000596046,86.6025390625
0.150000005960464,175.753646850586,0.150000005960464,-84.9836578369141,0.150000005960464,84.9836578369141
0.159999996423721,113.344146728516,0.159999996423721,-78.1735992431641,0.159999996423721,78.1735992431641
0.170000001788139,-32.4505500793457,0.170000001788139,-60.0925216674805,0.170000001788139,60.0925216674805
0.180000007152557,-61.6301460266113,0.180000007152557,-55.2770805358887,0.180000007152557,55.2770805358887
0.189999997615814,-7.52767848968506,0.189999997615814,-62.3609580993652,0.189999997615814,62.3609580993652
0.200000002980232,-20.1428565979004,0.200000002980232,-60.0925216674805,0.200000002980232,60.0925216674805
0.209999993443489,-82.8087158203125,0.209999993443489,-50,0.209999993443489,50
0.219999998807907,-78.8583068847656,0.219999998807907,-50,0.219999998807907,50
0.230000004172325,-24.9579925537109,0.230000004172325,-57.7350273132324,0.230000004172325,57.7350273132324
0.239999994635582,-104.440811157227,0.239999994635582,-44.0958557128906,0.239999994635582,44.0958557128906
0.25,-117.306480407715,0.25,-40.8248291015625,0.25,40.8248291015625
0.259999990463257,-80.2213668823242,0.259999990463257,-47.140453338623,0.259999990463257,47.140453338623
0.270000010728836,-76.5185012817383,0.270000010728836,-47.140453338623,0.270000010728836,47.140453338623
0.280000001192093,-56.1976089477539,0.280000001192093,-50,0.280000001192093,50
0.28999999165535,-52.5917129516602,0.28999999165535,-50,0.28999999165535,50
0.300000011920929,-65.7005310058594,0.300000011920929,-47.140453338623,0.300000011920929,47.140453338623
0.310000002384186,-62.1904258728027,0.310000002384186,-47.140453338623,0.310000002384186,47.140453338623
0.319999992847443,7.93888664245605,0.319999992847443,-57.7350273132324,0.319999992847443,57.7350273132324
0.330000013113022,-88.6456298828125,0.330000013113022,-40.8248291015625,0.330000013113022,40.8248291015625
0.340000003576279,-101.94367980957,0.340000003576279,-37.2677993774414,0.340000003576279,37.2677993774414
0.349999994039536,-31.9549694061279,0.349999994039536,-50,0.349999994039536,50
0.360000014305115,-45.345874786377,0.360000014305115,-47.140453338623,0.360000014305115,47.140453338623
0.370000004768372,-75.4494323730469,0.370000004768372,-40.8248291015625,0.370000004768372,40.8248291015625
0.379999995231628,-38.9320220947266,0.379999995231628,-47.140453338623,0.379999995231628,47.140453338623
0.389999985694885,-85.793342590332,0.389999985694885,-37.2677993774414,0.389999985694885,37.2677993774414
0.400000005960464,-66.0331039428711,0.400000005960464,-40.8248291015625,0.400000005960464,40.8248291015625
0.409999996423721,-12.9843463897705,0.409999996423721,-50,0.409999996423721,50
0.419999986886978,-9.98010730743408,0.419999986886978,-50,0.419999986886978,50
0.430000007152557,-40.3534278869629,0.430000007152557,-44.0958557128906,0.430000007152557,44.0958557128906
0.439999997615814,-20.7706813812256,0.439999997615814,-47.140453338623,0.439999997615814,47.140453338623
0.449999988079071,32.1017608642578,0.449999988079071,-55.2770805358887,0.449999988079071,55.2770805358887
0.46000000834465,1.59752345085144,0.46000000834465,-50,0.46000000834465,50
0.469999998807907,4.38356781005859,0.469999998807907,-50,0.469999998807907,50
0.479999989271164,7.12685394287109,0.479999989271164,-50,0.479999989271164,50
0.490000009536743,-23.5056571960449,0.490000009536743,-44.0958557128906,0.490000009536743,44.0958557128906
0.5,45.8196601867676,0.5,-55.2770805358887,0.5,55.2770805358887
0.509999990463257,98.4364318847656,0.509999990463257,-62.3609580993652,0.509999990463257,62.3609580993652
0.519999980926514,-32.3217124938965,0.519999980926514,-40.8248291015625,0.519999980926514,40.8248291015625
0.529999971389771,-63.1211471557617,0.529999971389771,-33.3333320617676,0.529999971389771,33.3333320617676
0.540000021457672,-43.9615783691406,0.540000021457672,-37.2677993774414,0.540000021457672,37.2677993774414
0.550000011920929,-24.8427124023438,0.550000011920929,-40.8248291015625,0.550000011920929,40.8248291015625
0.560000002384186,-22.4309234619141,0.560000002384186,-40.8248291015625,0.560000002384186,40.8248291015625
0.569999992847443,-20.0592498779297,0.569999992847443,-40.8248291015625,0.569999992847443,40.8248291015625
0.579999983310699,32.2726020812988,0.579999983310699,-50,0.579999983310699,50
0.589999973773956,67.8982543945313,0.589999973773956,-55.2770805358887,0.589999973773956,55.2770805358887
0.600000023841858,3.48467683792114,0.600000023841858,-44.0958557128906,0.600000023841858,44.0958557128906
0.610000014305115,22.3654880523682,0.610000014305115,-47.140453338623,0.610000014305115,47.140453338623
