Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,0.171,6297.125,0.00671641791,702.0206243
,,0.178,6338.566,0.006991358995,706.6405797
,,0.178,6379.876,0.006991358995,711.2459309
,,0.174,6420.383,0.006834249804,715.7617614
,,0.181,6459.638,0.007109190888,720.1380156
,,0.187,6498.853,0.007344854674,724.5098105
,,0.186,6538.304,0.007305577376,728.9079153
,,0.190,6578.345,0.007462686567,733.3717949
,,0.196,6615.917,0.007698350353,737.5604236
,,0.202,6653.224,0.00793401414,741.7195095
,,0.201,6690.306,0.007894736842,745.8535117
,,0.202,6726.485,0.00793401414,749.886845
,,0.211,6760.903,0.008287509819,753.7238573
,,0.211,6796.910,0.008287509819,757.7380156
,,0.212,6832.158,0.008326787117,761.6675585
,,0.220,6865.821,0.008641005499,765.4204013
,,0.226,6900.494,0.008876669285,769.2858417
,,0.229,6933.808,0.008994501178,772.999777
,,0.233,6965.910,0.009151610369,776.5785953
,,0.238,6997.515,0.009347996858,780.1020067
,,0.245,7028.001,0.009622937942,783.5006689
,,0.239,7059.217,0.009387274156,786.9807135
,,0.245,7088.629,0.009622937942,790.2596433
,,0.254,7119.609,0.009976433621,793.7133779
,,0.260,7149.018,0.01021209741,796.9919732
,,0.263,7177.473,0.0103299293,800.164214
,,0.269,7204.814,0.01056559309,803.2122631
,,0.272,7231.808,0.01068342498,806.2216276
,,0.272,7258.788,0.01068342498,809.2294314
,,0.281,7284.321,0.01103692066,812.0759197
,,0.288,7311.542,0.01131186174,815.1105909
,,0.284,7335.637,0.01115475255,817.796767
,,0.291,7361.431,0.01142969364,820.6723523
,,0.303,7385.943,0.01190102121,823.4050167
,,0.306,7410.125,0.0120188531,826.1008919
,,0.309,7432.172,0.012136685,828.5587514
,,0.314,7454.775,0.01233307148,831.0785953
,,0.324,7477.745,0.01272584446,833.6393534
,,0.327,7499.116,0.01284367636,836.0218506
,,0.330,7522.598,0.01296150825,838.6396878
,,0.339,7543.152,0.01331500393,840.9311037
,,0.344,7563.716,0.01351139042,843.2236343
,,0.345,7583.986,0.01355066771,845.4833891
,,0.356,7602.768,0.01398271799,847.5772575
,,0.364,7623.064,0.01429693637,849.8399108
,,0.364,7641.204,0.01429693637,851.8622074
,,0.370,7661.140,0.01453260016,854.0847269
,,0.379,7679.721,0.01488609584,856.1561873
,,0.386,7697.644,0.01516103692,858.1542921
,,0.391,7716.606,0.01535742341,860.2682274
,,0.400,7734.349,0.01571091909,862.2462653
,,0.401,7750.030,0.01575019639,863.9944259
,,0.404,7766.416,0.01586802828,865.8211817
,,0.413,7784.069,0.01622152396,867.7891862
,,0.419,7800.351,0.01645718775,869.6043478
,,0.422,7816.721,0.01657501964,871.42932
,,0.430,7831.983,0.01688923802,873.1307692
,,0.436,7847.664,0.01712490181,874.8789298
,,0.440,7862.446,0.017282011,876.5268673
,,0.449,7877.360,0.01763550668,878.1895206
,,0.461,7891.732,0.01810683425,879.7917503
,,0.461,7905.555,0.01810683425,881.3327759
,,0.464,7920.478,0.01822466614,882.9964326
,,0.473,7933.685,0.01857816182,884.4687848
,,0.477,7947.878,0.01873527101,886.0510591
,,0.485,7961.913,0.0190494894,887.6157191
,,0.495,7974.591,0.01944226237,889.029097
,,0.501,7987.515,0.01967792616,890.4698997
,,0.504,8000.410,0.01979575805,891.9074693
,,0.513,8012.871,0.02014925373,893.2966555
,,0.516,8024.372,0.02026708562,894.5788183
,,0.519,8038.306,0.02038491752,896.1322185
,,0.531,8049.460,0.02085624509,897.3756968
