Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,3.954,8165.996,0.1553024352,910.367447
,,3.966,8147.330,0.1557737628,908.2865106
,,3.976,8128.301,0.1561665357,906.1651059
,,3.988,8109.412,0.1566378633,904.0593088
,,4.000,8089.549,0.1571091909,901.8449275
,,4.006,8069.981,0.1573448547,899.6634337
,,4.022,8049.231,0.1579732914,897.3501672
,,4.030,8028.046,0.1582875098,894.9884058
,,4.040,8004.641,0.1586802828,892.3791527
,,4.052,7982.890,0.1591516104,889.9542921
,,4.064,7960.422,0.1596229379,887.4494983
,,4.076,7935.867,0.1600942655,884.7120401
,,4.085,7912.955,0.1604477612,882.157748
,,4.098,7887.947,0.1609583661,879.3697882
,,4.113,7862.492,0.1615475255,876.5319955
,,4.122,7835.972,0.1619010212,873.5754738
,,4.137,7808.374,0.1624901807,870.4987737
,,4.140,7780.020,0.1626080126,867.3377926
,,4.158,7750.533,0.1633150039,864.0505017
,,4.167,7720.238,0.1636684996,860.6731327
,,4.180,7688.833,0.1641791045,857.1720178
,,4.192,7659.406,0.1646504321,853.8914158
,,4.201,7625.103,0.1650039277,850.0672241
,,4.216,7590.524,0.1655930872,846.2122631
,,4.220,7555.144,0.1657501964,842.2680045
,,4.235,7518.433,0.1663393559,838.1753623
,,4.247,7479.535,0.1668106834,833.8389075
,,4.256,7439.592,0.1671641791,829.3859532
,,4.271,7397.634,0.1677533386,824.7083612
,,4.283,7354.018,0.1682246661,819.8459309
,,4.296,7309.353,0.168735271,814.8665552
,,4.308,7262.580,0.1692065986,809.6521739
,,4.323,7211.556,0.1697957581,803.9638796
,,4.329,7159.046,0.1700314218,798.109922
,,4.345,7104.432,0.1706598586,792.0214047
,,4.359,7046.074,0.1712097408,785.5154961
,,4.372,6983.672,0.1717203456,778.5587514
,,4.387,6917.775,0.1723095051,771.2123746
,,4.479,373.945,0.1759230165,41.6884058
