Time,Temp
0,28.267591
1,28.273994
2,28.30834
3,28.357765
4,28.366629
5,28.343417
6,28.306945
7,28.307857
8,28.326016
9,28.30521
10,28.311774
11,28.326797
12,28.298104
13,28.287021
14,28.523743
15,29.135401
16,52.080057
17,374.59876
18,520.013994
19,547.757871
20,551.844306
21,551.948017
22,550.987793
23,549.230077
24,547.03798
25,544.372943
26,541.029004
27,537.226699
28,533.116431
29,528.531123
30,523.450536
31,518.235652
32,512.989864
33,507.603613
34,502.13254
35,496.686182
36,491.295776
37,485.966415
38,480.765513
39,475.676574
40,470.657751
41,465.748729
42,460.918957
43,456.219388
44,451.61589
45,447.074906
46,442.664618
47,438.403514
48,434.34191
49,430.734056
50,427.939791
51,426.228684
52,425.481637
53,425.281962
54,425.302072
55,425.373562
56,425.486839
57,425.598162
58,425.702869
59,425.776536
60,425.835514
61,425.890881
62,425.936553
63,425.934582
64,425.961494
65,425.946043
66,425.925529
67,425.932868
68,425.943349
69,425.909874
70,425.884958
71,425.863264
72,425.840004
73,425.809128
74,425.799792
75,425.787674
76,425.766652
77,425.752776
78,425.739367
79,425.72268
80,425.689759
81,425.680111
82,425.649744
83,425.623323
84,425.637155
85,425.589555
86,425.556899
87,425.504458
88,425.450391
89,425.423607
90,425.393422
91,425.341115
92,425.258369
93,425.163728
94,425.078943
95,424.955918
96,424.85775
97,424.76618
98,424.657002
99,424.517439
100,424.382086
101,424.210147
102,424.025272
103,423.853143
104,423.693363
105,423.540237
106,423.346943
107,423.142088
108,422.912557
109,422.68824
110,422.46475
111,422.165895
112,421.870969
113,421.535001
114,421.105484
115,420.572862
116,419.897651
117,419.087237
118,417.97837
119,416.570848
120,414.889718
121,413.080551
122,411.217107
123,409.337477
124,407.435426
125,405.569948
126,403.799044
127,402.089878
128,400.410946
129,398.746239
130,397.188245
131,395.6426
132,394.107002
133,392.588348
134,391.090924
135,389.647162
136,388.232016
137,386.823598
138,385.429554
139,384.091831
140,382.76828
141,381.459122
142,380.190511
143,378.909181
144,377.687097
145,376.445939
146,375.209158
147,373.985502
148,372.783029
149,371.577536
150,370.37282
151,369.184217
152,367.992391
153,366.792737
154,365.597358
155,364.422009
156,363.298835
157,362.147574
158,361.023435
159,359.880915
160,358.751297
161,357.628148
162,356.48318
163,355.384208
164,354.300072
165,353.173883
166,352.092044
167,351.044613
168,349.932891
169,348.889048
170,347.851604
171,346.849799
172,345.827937
173,344.798816
174,343.79508
175,342.788046
176,341.80656
177,340.858567
178,339.924392
179,338.982839
180,338.04583
181,337.1094
182,336.165035
183,335.25443
184,334.335301
185,333.409031
186,332.505071
187,331.597514
188,330.70874
189,329.828463
190,328.937172
191,328.008303
192,327.114102
193,326.266928
194,325.415501
195,324.588462
196,323.759698
197,322.921371
198,322.107291
199,321.287748
200,320.468327
201,319.626717
202,318.842758
203,318.03928
204,317.246913
205,316.481041
206,315.677809
207,314.897334
208,314.112655
209,313.322905
210,312.58127
211,311.822843
212,311.087272
213,310.354983
214,309.626163
215,308.911874
216,308.200472
217,307.471769
218,306.77519
219,306.057289
220,305.365699
221,304.656211
222,303.975784
223,303.283829
224,302.616737
225,301.923275
226,301.235336
227,300.577186
228,299.874295
229,299.171508
230,298.510508
231,297.83954
232,297.165349
233,296.486867
234,295.805345
235,295.160303
236,294.502174
237,293.848287
238,293.177739
239,292.519361
240,291.895312
241,291.257328
242,290.628071
243,290.026436
244,289.420442
245,288.797892
246,288.196735
247,287.569473
248,286.955215
249,286.37209
250,285.812842
251,285.223779
252,284.618101
253,284.067003
254,283.505883
255,282.926695
256,282.342586
257,281.757132
258,281.176681
259,280.631269
260,280.098083
261,279.556551
262,279.023315
263,278.461289
264,277.909885
265,277.371684
266,276.82769
267,276.28264
268,275.751089
269,275.213251
270,274.673938
271,274.12745
272,273.621758
273,273.095895
274,272.567836
275,272.041384
276,271.51695
277,270.965351
278,270.453014
279,269.953989
280,269.482816
281,269.011094
282,268.513745
283,268.009214
284,267.499212
285,267.035041
286,266.562689
287,266.075992
288,265.579794
289,265.070023
290,264.57916
291,264.09463
292,263.633152
293,263.157275
294,262.659216
295,262.177101
296,261.695074
297,261.208509
298,260.754437
299,260.269011
300,259.806116
301,259.348791
302,258.874663
303,258.435101
304,257.978574
305,257.516494
306,257.048014
307,256.591652
308,256.159166
309,255.706862
310,255.250047
311,254.796714
312,254.354673
313,253.901354
314,253.439508
315,253.00817
316,252.555019
317,252.120125
318,251.679387
319,251.251233
320,250.839827
321,250.410711
322,249.996658
323,249.564526
324,249.151864
325,248.73505
326,248.325098
327,247.931298
