Total velocity (m/s),Drag coefficient 
556.035,0.658
556.169,0.658
556.301,0.658
556.43,0.658
556.557,0.658
556.681,0.658
556.803,0.658
556.923,0.658
557.04,0.658
557.154,0.658
557.266,0.657
557.376,0.657
557.483,0.657
557.588,0.657
557.69,0.657
557.789,0.657
557.886,0.657
557.98,0.657
558.071,0.657
558.16,0.657
558.246,0.657
558.329,0.657
558.41,0.657
558.487,0.657
558.562,0.656
558.634,0.656
558.703,0.656
558.769,0.656
558.815,0.656
558.877,0.656
558.936,0.656
558.994,0.656
559.05,0.656
559.105,0.656
559.157,0.656
559.208,0.656
559.256,0.656
559.303,0.656
559.348,0.656
559.391,0.656
559.431,0.656
559.47,0.656
559.506,0.656
559.541,0.656
559.573,0.656
559.602,0.656
559.63,0.655
559.655,0.655
559.678,0.655
559.698,0.655
559.715,0.655
559.73,0.655
559.742,0.655
559.752,0.655
559.759,0.655
559.763,0.655
559.766,0.655
559.767,0.655
559.768,0.655
