time_s,cg_from_tip_in
0.0,99.4781125590757
0.01,99.49253781559017
0.02,99.50694796838147
0.03,99.52134300335173
0.04,99.53572290638563
0.05,99.5500876633503
0.06,99.56443726009515
0.07,99.57877168245207
0.08,99.59309091623525
0.09,99.60739494724118
0.1,99.62168376124863
0.11,99.63595734401868
0.12,99.65021568129455
0.13,99.66445875880177
0.14,99.67868656224792
0.15,99.69289907732286
0.16,99.70709628969848
0.17,99.72127818502874
0.18,99.73544474894975
0.19,99.74959596707959
0.2,99.76373182501834
0.21,99.77785230834816
0.22,99.791957402633
0.23,99.80604709341881
0.24,99.82012136623352
0.25,99.83418020658675
0.26,99.8482235999701
0.27,99.86225153185693
0.28,99.87626398770232
0.29,99.89026095294321
0.3,99.90424241299819
0.31,99.91820835326753
0.32,99.93215875913327
0.33,99.94609361595894
0.34,99.96001290908981
0.35000000000000003,99.97391662385259
0.36,99.98780474555569
0.37,100.00167725948894
0.38,100.01553415092366
0.39,100.0293754051127
0.4,100.04320100729028
0.41000000000000003,100.05701094267206
0.42,100.07080519645505
0.43,100.08458375381767
0.44,100.09834659991952
0.45,100.1120937199016
0.46,100.12582509888614
0.47000000000000003,100.1395407219766
0.48,100.15324057425762
0.49,100.16692464079502
0.5,100.18059290663574
0.51,100.19424535680788
0.52,100.20788197632054
0.53,100.22150275016395
0.54,100.23510766330932
0.55,100.2486967007088
0.56,100.26226984729557
0.5700000000000001,100.27582708798376
0.58,100.28936840766828
0.59,100.30289379122503
0.6,100.31640322351069
0.61,100.32989668936274
0.62,100.3433741735995
0.63,100.35683566101994
0.64,100.3702811364038
0.65,100.38371058451153
0.66,100.39712399008418
0.67,100.41052133784348
0.68,100.42390261249169
0.6900000000000001,100.43726779871167
0.7000000000000001,100.45061688116682
0.71,100.46394984450104
0.72,100.47726667333866
0.73,100.4905673522845
0.74,100.50385186592375
0.75,100.51712019882197
0.76,100.5303723355251
0.77,100.5436082605594
0.78,100.55682795843138
0.79,100.57003141362779
0.8,100.58321861061562
0.81,100.59638953384207
0.8200000000000001,100.6095441677345
0.8300000000000001,100.62268249670026
0.84,100.63580450512703
0.85,100.64891017738236
0.86,100.6619994978139
0.87,100.67507245074931
0.88,100.68812902049616
0.89,100.70116919134205
0.9,100.71419294755434
0.91,100.72720027338038
0.92,100.74019115304733
0.93,100.7531655707621
0.9400000000000001,100.76612351071145
0.9500000000000001,100.77906495706183
0.96,100.79198989395944
0.97,100.80489830553006
0.98,100.81779017587924
0.99,100.83066548909204
1.0,100.84352422923315
1.01,100.85636638034683
1.02,100.86919192645674
1.03,100.88200085156609
1.04,100.89479313965761
1.05,100.90756877469329
1.06,100.92032774061462
1.07,100.9330700213424
1.08,100.94579560077669
1.09,100.95850446279694
1.1,100.97119659126173
1.11,100.9838719700089
1.12,100.99653058285556
1.1300000000000001,101.00917241359775
1.1400000000000001,101.02179744601086
1.1500000000000001,101.03440566384921
1.16,101.04699705084623
1.17,101.05957159071431
1.18,101.07212926714486
1.19,101.08467006380822
1.2,101.09719396435366
1.21,101.10970095240927
1.22,101.12219101158202
1.23,101.13466412545772
1.24,101.14712027760088
1.25,101.1595594515548
1.26,101.17198163084147
1.27,101.18438679896151
1.28,101.19677493939427
1.29,101.20914603559764
1.3,101.22150007100804
1.31,101.23383702904049
1.32,101.24615689308845
1.33,101.25845964652395
1.34,101.27074527269727
1.35,101.2830137549372
1.36,101.29526507655086
1.37,101.30749922082376
1.3800000000000001,101.31971617101954
1.3900000000000001,101.33191591038027
1.4000000000000001,101.34409842212608
1.41,101.35626368945537
1.42,101.3684116955447
1.43,101.3805424235486
1.44,101.39265585659987
1.45,101.40475197780925
1.46,101.41683077026545
1.47,101.42889221703517
1.48,101.44093630116312
1.49,101.45296300567173
1.5,101.46497231356152
1.51,101.47696420781061
1.52,101.48893867137502
1.53,101.50089568718856
1.54,101.51283523816261
1.55,101.52475730718636
1.56,101.53666187712665
1.57,101.54854893082775
1.58,101.56041845111167
1.59,101.57227042077794
1.6,101.58410482260348
1.61,101.59592163934273
1.62,101.6077208537276
1.6300000000000001,101.61950244846729
1.6400000000000001,101.63126640624841
1.6500000000000001,101.64301270973483
1.6600000000000001,101.65474134156771
1.67,101.6664522843655
1.68,101.67814552072377
1.69,101.68982103321531
1.7,101.70147880438996
1.71,101.7131188167747
1.72,101.72474105287358
1.73,101.73634549516763
1.74,101.74793212611476
1.75,101.75950092815
1.76,101.77105188368513
1.77,101.78258497510886
1.78,101.79410018478669
1.79,101.8055974950609
1.8,101.8170768882505
1.81,101.82853834665127
1.82,101.83998185253559
1.83,101.8514073881525
1.84,101.86281493572761
1.85,101.87420447746312
1.86,101.88557599553772
1.87,101.89692947210655
1.8800000000000001,101.90826488930121
1.8900000000000001,101.91958222922969
1.9000000000000001,101.93088147397633
1.9100000000000001,101.94216260560184
1.92,101.95342560614313
1.93,101.96467045761337
1.94,101.975897142002
1.95,101.98710564127454
1.96,101.99829593737266
1.97,102.00946801221411
1.98,102.02062184769272
1.99,102.03175742567824
2.0,102.04287472801644
2.0100000000000002,102.05397373652902
2.02,102.06505443301354
2.0300000000000002,102.07611679924344
2.04,102.08716081696787
2.05,102.09818646791187
2.06,102.10919373377608
2.07,102.12018259623696
2.08,102.1311530369465
2.09,102.14210503753229
2.1,102.15303857959758
2.11,102.163953644721
2.12,102.1748502144568
2.13,102.1857282703346
2.14,102.19658779385941
2.15,102.20742876651163
2.16,102.2182511697469
2.17,102.22905498499627
2.18,102.23984019366587
2.19,102.25060677713721
2.2,102.2613547167667
2.21,102.27208399388608
2.22,102.28279458980208
2.23,102.2934864857964
2.24,102.30415966312582
2.25,102.31481410302202
2.2600000000000002,102.32544978669156
2.27,102.33606669531589
2.2800000000000002,102.34666481005127
2.29,102.35724411202872
2.3000000000000003,102.36780458235401
2.31,102.37834620210756
2.32,102.38886895234454
2.33,102.39937281409459
2.34,102.409857768362
2.35,102.42032379612557
2.36,102.43077087833858
2.37,102.44119899592867
2.38,102.451608129798
2.39,102.46199826082298
2.4,102.47236936985433
2.41,102.4827214377171
2.42,102.49305444521052
2.43,102.50336837310796
2.44,102.51366320215695
2.45,102.52393891307914
2.46,102.5341954865702
2.47,102.54443290329979
2.48,102.55465114391156
2.49,102.564850189023
2.5,102.5750300192256
2.5100000000000002,102.5851906150845
2.52,102.5953319571388
2.5300000000000002,102.60545402590121
2.54,102.6155568018582
2.5500000000000003,102.6256402654699
2.56,102.63570439716993
2.57,102.64574917736563
2.58,102.65577458643774
2.59,102.66578060474052
2.6,102.67576721260163
2.61,102.68573439032214
2.62,102.69568211817642
2.63,102.70561037641215
2.64,102.71551914525027
2.65,102.7254084048849
2.66,102.73527813548331
2.67,102.74512831718589
2.68,102.75495893010607
2.69,102.76476995433036
2.7,102.77456136991816
2.71,102.78433315690184
2.72,102.79408529528665
2.73,102.80381776505068
2.74,102.8135305461448
2.75,102.82322361849258
2.7600000000000002,102.83289696199031
2.77,102.84255055650704
2.7800000000000002,102.85218438188419
2.79,102.861798417936
2.8000000000000003,102.87139264444899
2.81,102.88096704118227
2.82,102.89052158786734
2.83,102.90005626420805
2.84,102.9095710498806
2.85,102.91906592453343
2.86,102.92854086778722
2.87,102.93799585923486
2.88,102.94743087844132
2.89,102.95684590494365
2.9,102.96624091825102
2.91,102.97561589784452
2.92,102.98497082317715
2.93,102.99430567367389
2.94,103.0036204287315
2.95,103.01291506771854
2.96,103.0221895699754
2.97,103.03144391481402
2.98,103.04067808151812
2.99,103.04989204934297
3.0,103.0590857975154
3.0100000000000002,103.06825930523375
3.02,103.07741255166783
3.0300000000000002,103.08654551595878
3.04,103.09565817721922
